"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,2039379.0,0.0
0.0,7.0,0.0,0.0,0.0,2039377.0,0.0
0.0,17.0,0.0,0.0,0.0,2039369.0,0.0
0.0,18.0,0.0,0.0,0.0,2039367.0,0.0
0.0,23.0,0.0,0.0,0.0,2039351.0,0.0
0.0,25.0,0.0,0.0,0.0,2039349.0,0.0
6.0,37.0,0.0,0.0,0.0,2039330.0,0.0
9.0,36.0,0.0,1.0,0.0,2039329.0,0.0
18.0,42.0,0.0,1.0,0.0,2039308.0,0.0
21.0,40.0,0.0,1.0,0.0,2039306.0,0.0
22.0,61.0,0.0,0.0,0.0,2039275.0,0.0
26.0,58.0,0.0,0.0,0.0,2039274.0,0.0
35.0,86.0,0.0,1.0,0.0,2039237.0,0.0
33.0,84.0,0.0,1.0,0.0,2039234.0,0.0
58.0,120.0,0.0,3.0,0.0,2039180.0,0.0
56.0,100.0,1.0,3.0,0.0,2039179.0,0.0
61.0,125.0,1.0,3.0,2.0,2039118.0,0.0
58.0,131.0,1.0,3.0,2.0,2039114.0,0.0
