"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1854556.0,0.0
0.0,22.0,0.0,0.0,0.0,1854587.0,0.0
0.0,41.0,0.0,1.0,0.0,1854700.0,0.0
0.0,36.0,0.0,1.0,0.0,1854729.0,0.0
0.0,48.0,0.0,2.0,0.0,1854832.0,0.0
0.0,43.0,0.0,2.0,0.0,1854860.0,0.0
20.0,39.0,0.0,2.0,0.0,1854953.0,0.0
18.0,38.0,0.0,2.0,0.0,1854980.0,0.0
27.0,54.0,1.0,3.0,0.0,1855063.0,0.0
29.0,54.0,1.0,3.0,0.0,1855089.0,0.0
35.0,79.0,1.0,3.0,0.0,1855153.0,0.0
35.0,81.0,1.0,3.0,0.0,1855178.0,0.0
49.0,121.0,1.0,6.0,0.0,1855233.0,0.0
47.0,121.0,1.0,6.0,0.0,1855257.0,0.0
61.0,168.0,2.0,11.0,0.0,1855282.0,0.0
66.0,187.0,2.0,11.0,0.0,1855305.0,0.0
112.0,252.0,4.0,11.0,5.0,1855313.0,0.0
103.0,262.0,4.0,11.0,7.0,1855335.0,0.0
