"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,738587.0,0.0
0.0,8.0,0.0,0.0,0.0,738590.0,0.0
0.0,23.0,0.0,1.0,0.0,738595.0,0.0
0.0,23.0,0.0,1.0,0.0,738598.0,0.0
0.0,31.0,0.0,1.0,0.0,738599.0,0.0
0.0,29.0,0.0,1.0,0.0,738601.0,0.0
11.0,29.0,0.0,1.0,0.0,738605.0,0.0
7.0,26.0,0.0,1.0,0.0,738608.0,0.0
19.0,36.0,0.0,0.0,0.0,738599.0,0.0
15.0,35.0,0.0,0.0,0.0,738601.0,0.0
22.0,41.0,0.0,1.0,0.0,738595.0,0.0
22.0,43.0,0.0,1.0,0.0,738598.0,0.0
29.0,66.0,0.0,2.0,0.0,738581.0,0.0
29.0,72.0,0.0,2.0,0.0,738581.0,0.0
48.0,91.0,0.0,1.0,0.0,738563.0,0.0
48.0,100.0,0.0,1.0,0.0,738566.0,0.0
58.0,117.0,0.0,3.0,1.0,738532.0,0.0
54.0,116.0,0.0,3.0,2.0,738535.0,0.0
