"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,869603.0,0.0
0.0,6.0,0.0,0.0,0.0,869603.0,0.0
0.0,16.0,0.0,0.0,0.0,869601.0,0.0
0.0,23.0,0.0,0.0,0.0,869601.0,0.0
0.0,26.0,0.0,1.0,0.0,869596.0,0.0
0.0,25.0,0.0,1.0,0.0,869595.0,0.0
11.0,21.0,0.0,1.0,0.0,869593.0,0.0
8.0,20.0,0.0,1.0,0.0,869594.0,0.0
18.0,26.0,0.0,2.0,0.0,869588.0,0.0
18.0,28.0,0.0,2.0,0.0,869589.0,0.0
30.0,47.0,0.0,3.0,0.0,869576.0,0.0
26.0,49.0,0.0,3.0,0.0,869575.0,0.0
28.0,61.0,0.0,2.0,0.0,869560.0,0.0
29.0,60.0,0.0,2.0,0.0,869560.0,0.0
45.0,80.0,0.0,2.0,0.0,869532.0,0.0
46.0,87.0,0.0,2.0,0.0,869531.0,0.0
57.0,122.0,0.0,4.0,3.0,869474.0,0.0
68.0,111.0,0.0,4.0,1.0,869471.0,0.0
