"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,633801.0,0.0
0.0,13.0,0.0,0.0,0.0,633800.0,0.0
0.0,14.0,0.0,0.0,0.0,633792.0,0.0
0.0,20.0,0.0,0.0,0.0,633792.0,0.0
0.0,26.0,0.0,0.0,0.0,633785.0,0.0
0.0,26.0,0.0,0.0,0.0,633785.0,0.0
10.0,23.0,0.0,0.0,0.0,633777.0,0.0
11.0,24.0,0.0,0.0,0.0,633777.0,0.0
21.0,35.0,0.0,0.0,0.0,633763.0,0.0
20.0,29.0,0.0,0.0,0.0,633762.0,0.0
27.0,41.0,0.0,0.0,0.0,633742.0,0.0
26.0,44.0,0.0,0.0,0.0,633742.0,0.0
29.0,63.0,0.0,2.0,0.0,633716.0,0.0
30.0,60.0,0.0,2.0,0.0,633716.0,0.0
44.0,83.0,0.0,2.0,0.0,633690.0,0.0
43.0,81.0,0.0,2.0,0.0,633690.0,0.0
67.0,105.0,0.0,3.0,2.0,633646.0,0.0
64.0,112.0,0.0,3.0,4.0,633646.0,0.0
