"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,652314.0,0.0
0.0,10.0,0.0,0.0,0.0,652313.0,0.0
0.0,12.0,0.0,0.0,0.0,652308.0,0.0
0.0,12.0,0.0,0.0,0.0,652307.0,0.0
0.0,15.0,0.0,1.0,0.0,652298.0,0.0
0.0,16.0,0.0,1.0,0.0,652297.0,0.0
4.0,11.0,0.0,1.0,0.0,652292.0,0.0
7.0,11.0,0.0,1.0,0.0,652291.0,0.0
11.0,17.0,0.0,0.0,0.0,652279.0,0.0
10.0,20.0,0.0,0.0,0.0,652278.0,0.0
21.0,31.0,0.0,0.0,0.0,652265.0,0.0
19.0,29.0,0.0,0.0,0.0,652265.0,0.0
18.0,43.0,0.0,0.0,0.0,652240.0,0.0
19.0,43.0,0.0,0.0,0.0,652240.0,0.0
27.0,52.0,0.0,1.0,0.0,652214.0,0.0
27.0,48.0,0.0,1.0,0.0,652214.0,0.0
45.0,76.0,0.0,4.0,4.0,652193.0,0.0
50.0,77.0,0.0,4.0,2.0,652191.0,0.0
