"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1125297.0,0.0
0.0,16.0,0.0,0.0,0.0,1125296.0,0.0
0.0,6.0,0.0,0.0,0.0,1125292.0,0.0
0.0,5.0,0.0,0.0,0.0,1125291.0,0.0
0.0,10.0,0.0,0.0,0.0,1125286.0,0.0
0.0,8.0,0.0,0.0,0.0,1125285.0,0.0
4.0,9.0,0.0,0.0,0.0,1125275.0,0.0
4.0,9.0,0.0,0.0,0.0,1125274.0,0.0
8.0,16.0,0.0,0.0,0.0,1125267.0,0.0
7.0,16.0,0.0,0.0,0.0,1125266.0,0.0
12.0,22.0,0.0,0.0,0.0,1125258.0,0.0
12.0,22.0,0.0,0.0,0.0,1125257.0,0.0
17.0,32.0,0.0,0.0,0.0,1125240.0,0.0
16.0,39.0,0.0,0.0,0.0,1125238.0,0.0
22.0,52.0,0.0,1.0,0.0,1125213.0,0.0
21.0,45.0,0.0,1.0,0.0,1125212.0,0.0
34.0,68.0,1.0,2.0,2.0,1125179.0,0.0
33.0,65.0,1.0,2.0,1.0,1125177.0,0.0
