"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,11.0,0.0,0.0,0.0,678223.0,0.0
0.0,10.0,0.0,0.0,0.0,678222.0,0.0
0.0,12.0,0.0,0.0,0.0,678214.0,0.0
0.0,11.0,0.0,0.0,0.0,678213.0,0.0
0.0,20.0,0.0,0.0,0.0,678207.0,0.0
0.0,20.0,0.0,0.0,0.0,678206.0,0.0
5.0,23.0,0.0,0.0,0.0,678196.0,0.0
8.0,23.0,0.0,0.0,0.0,678195.0,0.0
10.0,26.0,0.0,0.0,0.0,678174.0,0.0
13.0,28.0,0.0,0.0,0.0,678172.0,0.0
14.0,35.0,0.0,1.0,0.0,678148.0,0.0
16.0,35.0,0.0,1.0,0.0,678145.0,0.0
29.0,42.0,0.0,0.0,0.0,678124.0,0.0
27.0,44.0,0.0,0.0,0.0,678121.0,0.0
35.0,55.0,1.0,0.0,0.0,678089.0,0.0
36.0,56.0,1.0,0.0,0.0,678087.0,0.0
44.0,70.0,2.0,0.0,1.0,678037.0,0.0
49.0,81.0,2.0,0.0,1.0,678033.0,0.0
