"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1078362.0,0.0
0.0,16.0,0.0,0.0,0.0,1078360.0,0.0
0.0,23.0,0.0,0.0,0.0,1078344.0,0.0
0.0,18.0,0.0,0.0,0.0,1078342.0,0.0
0.0,20.0,0.0,0.0,0.0,1078328.0,0.0
0.0,24.0,0.0,0.0,0.0,1078326.0,0.0
4.0,24.0,0.0,0.0,0.0,1078312.0,0.0
5.0,25.0,0.0,0.0,0.0,1078310.0,0.0
9.0,24.0,0.0,0.0,0.0,1078297.0,0.0
12.0,24.0,0.0,0.0,0.0,1078295.0,0.0
18.0,34.0,0.0,0.0,0.0,1078263.0,0.0
19.0,37.0,0.0,0.0,0.0,1078260.0,0.0
26.0,51.0,0.0,0.0,0.0,1078225.0,0.0
26.0,50.0,0.0,0.0,0.0,1078222.0,0.0
43.0,65.0,0.0,0.0,0.0,1078181.0,0.0
43.0,62.0,0.0,0.0,0.0,1078178.0,0.0
53.0,86.0,0.0,2.0,1.0,1078132.0,0.0
57.0,76.0,0.0,2.0,1.0,1078129.0,0.0
