"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,753804.0,0.0
0.0,6.0,0.0,0.0,0.0,753803.0,0.0
0.0,7.0,0.0,1.0,0.0,753797.0,0.0
0.0,9.0,0.0,1.0,0.0,753796.0,0.0
0.0,8.0,0.0,1.0,0.0,753791.0,0.0
0.0,10.0,0.0,1.0,0.0,753790.0,0.0
3.0,9.0,0.0,1.0,0.0,753782.0,0.0
3.0,9.0,0.0,1.0,0.0,753781.0,0.0
6.0,8.0,0.0,0.0,0.0,753774.0,0.0
5.0,8.0,0.0,0.0,0.0,753773.0,0.0
7.0,14.0,0.0,0.0,0.0,753766.0,0.0
7.0,12.0,0.0,0.0,0.0,753765.0,0.0
9.0,19.0,1.0,0.0,0.0,753753.0,0.0
9.0,20.0,1.0,0.0,0.0,753752.0,0.0
10.0,31.0,1.0,1.0,0.0,753728.0,0.0
10.0,29.0,1.0,1.0,0.0,753727.0,0.0
21.0,33.0,1.0,1.0,0.0,753705.0,0.0
19.0,38.0,1.0,1.0,0.0,753704.0,0.0
