"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1378554.0,0.0
0.0,10.0,0.0,0.0,0.0,1378548.0,0.0
0.0,12.0,0.0,0.0,0.0,1378522.0,0.0
0.0,10.0,0.0,0.0,0.0,1378516.0,0.0
0.0,17.0,0.0,1.0,0.0,1378491.0,0.0
0.0,20.0,0.0,1.0,0.0,1378485.0,0.0
4.0,22.0,0.0,2.0,0.0,1378453.0,0.0
4.0,23.0,0.0,2.0,0.0,1378448.0,0.0
14.0,23.0,0.0,0.0,0.0,1378419.0,0.0
13.0,25.0,0.0,0.0,0.0,1378415.0,0.0
14.0,41.0,0.0,0.0,0.0,1378379.0,0.0
14.0,37.0,0.0,0.0,0.0,1378376.0,0.0
22.0,46.0,1.0,0.0,0.0,1378346.0,0.0
24.0,47.0,1.0,0.0,0.0,1378342.0,0.0
29.0,60.0,1.0,0.0,0.0,1378310.0,0.0
30.0,60.0,1.0,0.0,0.0,1378307.0,0.0
40.0,65.0,2.0,1.0,0.0,1378274.0,0.0
41.0,67.0,2.0,1.0,1.0,1378271.0,0.0
