"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,872736.0,0.0
0.0,6.0,0.0,0.0,0.0,872734.0,0.0
0.0,7.0,0.0,0.0,0.0,872724.0,0.0
0.0,8.0,0.0,0.0,0.0,872722.0,0.0
0.0,8.0,0.0,0.0,0.0,872712.0,0.0
0.0,8.0,0.0,0.0,0.0,872710.0,0.0
2.0,7.0,0.0,0.0,0.0,872702.0,0.0
2.0,6.0,0.0,0.0,0.0,872700.0,0.0
3.0,4.0,0.0,0.0,0.0,872691.0,0.0
3.0,5.0,0.0,0.0,0.0,872689.0,0.0
5.0,8.0,0.0,0.0,0.0,872676.0,0.0
5.0,8.0,0.0,0.0,0.0,872674.0,0.0
6.0,13.0,0.0,0.0,0.0,872665.0,0.0
6.0,13.0,0.0,0.0,0.0,872664.0,0.0
6.0,20.0,0.0,0.0,0.0,872648.0,0.0
6.0,20.0,0.0,0.0,0.0,872647.0,0.0
10.0,26.0,0.0,1.0,0.0,872636.0,0.0
10.0,22.0,0.0,1.0,0.0,872635.0,0.0
