"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,794165.0,0.0
0.0,8.0,0.0,0.0,0.0,794161.0,0.0
0.0,9.0,0.0,0.0,0.0,794139.0,0.0
0.0,8.0,0.0,0.0,0.0,794135.0,0.0
0.0,7.0,0.0,0.0,0.0,794119.0,0.0
0.0,7.0,0.0,0.0,0.0,794115.0,0.0
0.0,6.0,0.0,0.0,0.0,794098.0,0.0
0.0,6.0,0.0,0.0,0.0,794094.0,0.0
2.0,3.0,0.0,0.0,0.0,794082.0,0.0
2.0,3.0,0.0,0.0,0.0,794079.0,0.0
4.0,3.0,0.0,1.0,0.0,794065.0,0.0
4.0,4.0,0.0,1.0,0.0,794061.0,0.0
4.0,10.0,0.0,1.0,0.0,794043.0,0.0
4.0,10.0,0.0,1.0,0.0,794040.0,0.0
6.0,16.0,0.0,1.0,0.0,794018.0,0.0
6.0,13.0,0.0,1.0,0.0,794015.0,0.0
10.0,21.0,0.0,0.0,0.0,793995.0,0.0
11.0,20.0,0.0,0.0,0.0,793992.0,0.0
