"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1378504.0,0.0
0.0,12.0,0.0,0.0,0.0,1378499.0,0.0
0.0,7.0,0.0,0.0,0.0,1378477.0,0.0
0.0,6.0,0.0,0.0,0.0,1378472.0,0.0
0.0,10.0,0.0,0.0,0.0,1378450.0,0.0
0.0,11.0,0.0,0.0,0.0,1378445.0,0.0
2.0,16.0,0.0,0.0,0.0,1378420.0,0.0
2.0,17.0,0.0,0.0,0.0,1378415.0,0.0
8.0,16.0,0.0,0.0,0.0,1378383.0,0.0
8.0,16.0,1.0,0.0,0.0,1378378.0,0.0
9.0,19.0,1.0,1.0,0.0,1378352.0,0.0
9.0,22.0,1.0,1.0,0.0,1378346.0,0.0
15.0,25.0,1.0,0.0,0.0,1378316.0,0.0
16.0,25.0,1.0,0.0,0.0,1378310.0,0.0
24.0,34.0,1.0,0.0,0.0,1378273.0,0.0
24.0,41.0,1.0,0.0,0.0,1378267.0,0.0
27.0,51.0,1.0,0.0,0.0,1378217.0,0.0
26.0,48.0,1.0,0.0,0.0,1378212.0,0.0
