"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1011511.0,0.0
0.0,4.0,0.0,0.0,0.0,1011505.0,0.0
0.0,3.0,0.0,0.0,0.0,1011483.0,0.0
0.0,3.0,0.0,0.0,0.0,1011478.0,0.0
0.0,3.0,0.0,0.0,0.0,1011458.0,0.0
0.0,4.0,0.0,0.0,0.0,1011452.0,0.0
1.0,6.0,0.0,0.0,0.0,1011430.0,0.0
1.0,6.0,0.0,0.0,0.0,1011424.0,0.0
5.0,6.0,0.0,0.0,0.0,1011397.0,0.0
5.0,6.0,0.0,0.0,0.0,1011391.0,0.0
6.0,11.0,0.0,0.0,0.0,1011363.0,0.0
6.0,11.0,0.0,0.0,0.0,1011357.0,0.0
5.0,12.0,0.0,0.0,0.0,1011326.0,0.0
7.0,13.0,0.0,0.0,0.0,1011319.0,0.0
10.0,18.0,0.0,1.0,0.0,1011288.0,0.0
10.0,15.0,0.0,1.0,0.0,1011282.0,0.0
18.0,27.0,0.0,1.0,0.0,1011247.0,0.0
18.0,28.0,0.0,1.0,0.0,1011239.0,0.0
