"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,554519.0,0.0
0.0,7.0,0.0,0.0,0.0,554518.0,0.0
0.0,11.0,0.0,0.0,0.0,554508.0,0.0
0.0,10.0,0.0,0.0,0.0,554507.0,0.0
0.0,7.0,0.0,0.0,0.0,554503.0,0.0
0.0,7.0,0.0,0.0,0.0,554502.0,0.0
0.0,7.0,0.0,0.0,0.0,554496.0,0.0
0.0,7.0,0.0,0.0,0.0,554495.0,0.0
3.0,3.0,0.0,1.0,0.0,554491.0,0.0
2.0,3.0,0.0,1.0,0.0,554490.0,0.0
3.0,3.0,0.0,0.0,0.0,554485.0,0.0
3.0,3.0,0.0,0.0,0.0,554484.0,0.0
3.0,5.0,0.0,0.0,0.0,554478.0,0.0
3.0,5.0,0.0,0.0,0.0,554477.0,0.0
5.0,5.0,0.0,0.0,0.0,554470.0,0.0
5.0,5.0,0.0,0.0,0.0,554469.0,0.0
5.0,9.0,0.0,0.0,0.0,554461.0,0.0
5.0,9.0,0.0,0.0,0.0,554460.0,0.0
