"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1981747.0,0.0
0.0,10.0,0.0,0.0,0.0,1981746.0,0.0
0.0,5.0,0.0,1.0,0.0,1981739.0,0.0
0.0,5.0,0.0,1.0,0.0,1981738.0,0.0
0.0,7.0,0.0,1.0,0.0,1981733.0,0.0
0.0,7.0,0.0,1.0,0.0,1981732.0,0.0
0.0,9.0,0.0,1.0,0.0,1981725.0,0.0
0.0,9.0,0.0,1.0,0.0,1981724.0,0.0
2.0,8.0,0.0,1.0,0.0,1981718.0,0.0
2.0,8.0,0.0,1.0,0.0,1981717.0,0.0
5.0,11.0,0.0,0.0,0.0,1981705.0,0.0
5.0,11.0,0.0,0.0,0.0,1981704.0,0.0
7.0,13.0,0.0,0.0,0.0,1981693.0,0.0
7.0,12.0,0.0,0.0,0.0,1981692.0,0.0
8.0,15.0,0.0,0.0,0.0,1981678.0,0.0
8.0,15.0,0.0,0.0,0.0,1981677.0,0.0
10.0,16.0,0.0,0.0,0.0,1981664.0,0.0
10.0,17.0,0.0,0.0,0.0,1981663.0,0.0
