Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,  Susceptible  to  Exposed  transition  constant ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,  Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,  Incubation  period  (Days) ,  Infection    period  (Days) ,  Leakage  ratio ,  Traffic  ratio ,  Airway ,  Railway ,  Highway
0.0,93.0,0.0,0.0,0.0,2039356.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,88.0,0.0,0.0,0.0,2039330.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,78.0,0.0,1.0,0.0,2039311.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,74.0,0.0,1.0,0.0,2039296.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
44.0,31.0,0.0,1.0,0.0,2039279.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
38.0,38.0,0.0,2.0,0.0,2039262.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
28.0,36.0,0.0,2.0,0.0,2039246.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
21.0,33.0,0.0,1.0,0.0,2039235.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14.0,40.0,0.0,1.0,0.0,2039224.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18.0,42.0,0.0,1.0,0.0,2039217.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
22.0,60.0,0.0,1.0,0.0,2039198.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
26.0,60.0,0.0,3.0,0.0,2039186.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
30.0,56.0,1.0,3.0,0.0,2039172.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
36.0,71.0,1.0,3.0,0.0,2039151.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
45.0,98.0,1.0,1.0,0.0,2039129.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
55.0,103.0,1.0,2.0,0.0,2039096.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
65.0,112.0,1.0,5.0,0.0,2039062.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
71.0,142.0,1.0,4.0,0.0,2039015.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
74.0,152.0,3.0,6.0,0.0,2038962.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
100.0,223.0,4.0,7.0,0.0,2038908.0,0.0,0.225,0.02,0.01,2395.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
