Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,  Susceptible  to  Exposed  transition  constant ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,  Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,  Incubation  period  (Days) ,  Infection    period  (Days) ,  Leakage  ratio ,  Traffic  ratio ,  Airway ,  Railway ,  Highway
0.0,0.0,0.0,0.0,0.0,738593.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,738602.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,5.0,0.0,0.0,0.0,738610.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,6.0,0.0,1.0,0.0,738619.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,11.0,0.0,1.0,0.0,738625.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2.0,13.0,0.0,1.0,0.0,738632.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,17.0,0.0,1.0,0.0,738637.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4.0,21.0,0.0,1.0,0.0,738644.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6.0,31.0,0.0,1.0,0.0,738641.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
11.0,33.0,0.0,3.0,0.0,738644.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13.0,34.0,0.0,2.0,0.0,738646.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14.0,47.0,1.0,2.0,0.0,738641.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
21.0,63.0,1.0,3.0,0.0,738632.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
23.0,63.0,1.0,4.0,0.0,738630.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
28.0,89.0,1.0,5.0,0.0,738621.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
37.0,92.0,1.0,3.0,0.0,738615.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
54.0,123.0,1.0,3.0,0.0,738597.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
58.0,164.0,3.0,4.0,0.0,738561.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
74.0,162.0,4.0,4.0,0.0,738533.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
80.0,241.0,4.0,7.0,0.0,738501.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
