Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,  Susceptible  to  Exposed  transition  constant ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,  Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,  Incubation  period  (Days) ,  Infection    period  (Days) ,  Leakage  ratio ,  Traffic  ratio ,  Airway ,  Railway ,  Highway
0.0,0.0,0.0,0.0,0.0,794157.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794145.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794133.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794121.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794109.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794098.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794089.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794080.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794071.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794062.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794053.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794044.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,794035.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,794026.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
1.0,6.0,0.0,0.0,0.0,794016.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
1.0,7.0,0.0,0.0,0.0,794006.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
1.0,10.0,0.0,0.0,0.0,793995.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,19.0,0.0,0.0,0.0,793982.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,29.0,0.0,0.0,0.0,793969.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4.0,31.0,0.0,0.0,0.0,793954.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
