Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,  Susceptible  to  Exposed  transition  constant ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,  Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,  Incubation  period  (Days) ,  Infection    period  (Days) ,  Leakage  ratio ,  Traffic  ratio ,  Airway ,  Railway ,  Highway
0.0,6.0,0.0,0.0,0.0,1378492.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,9.0,0.0,0.0,0.0,1378476.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,13.0,0.0,0.0,0.0,1378458.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,19.0,0.0,0.0,0.0,1378439.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
0.0,21.0,0.0,0.0,0.0,1378422.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,20.0,0.0,1.0,0.0,1378402.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7.0,26.0,0.0,1.0,0.0,1378380.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13.0,22.0,0.0,1.0,0.0,1378362.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16.0,22.0,0.0,2.0,0.0,1378340.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
20.0,25.0,0.0,2.0,0.0,1378316.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17.0,29.0,0.0,2.0,0.0,1378292.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17.0,27.0,0.0,2.0,0.0,1378269.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19.0,29.0,0.0,2.0,0.0,1378248.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
20.0,36.0,0.0,2.0,0.0,1378223.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
23.0,36.0,0.0,0.0,0.0,1378199.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
26.0,43.0,0.0,0.0,0.0,1378173.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
25.0,44.0,0.0,1.0,0.0,1378144.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
33.0,39.0,0.0,2.0,0.0,1378123.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
39.0,66.0,0.0,2.0,0.0,1378085.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
43.0,65.0,0.0,1.0,0.0,1378053.0,0.0,0.225,0.02,0.01,3000.0,0.3,0.15,0.9,0.7,0.3,0.3,5.0,14.0,0.0,1.0,1.0,1.0,1.0
