"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,2039379.0,0.0
0.0,13.0,0.0,0.0,0.0,2039377.0,0.0
0.0,12.0,0.0,0.0,0.0,2039370.0,0.0
0.0,15.0,0.0,0.0,0.0,2039368.0,0.0
0.0,18.0,0.0,0.0,0.0,2039362.0,0.0
0.0,19.0,0.0,0.0,0.0,2039360.0,0.0
0.0,28.0,0.0,0.0,0.0,2039354.0,0.0
0.0,28.0,0.0,0.0,0.0,2039351.0,0.0
0.0,29.0,0.0,0.0,0.0,2039342.0,0.0
0.0,31.0,0.0,0.0,0.0,2039340.0,0.0
0.0,43.0,0.0,0.0,0.0,2039329.0,0.0
0.0,38.0,0.0,0.0,0.0,2039328.0,0.0
11.0,40.0,0.0,1.0,0.0,2039320.0,0.0
13.0,39.0,0.0,1.0,0.0,2039319.0,0.0
15.0,47.0,0.0,1.0,0.0,2039311.0,0.0
18.0,51.0,0.0,1.0,0.0,2039310.0,0.0
20.0,60.0,0.0,0.0,0.0,2039292.0,0.0
20.0,48.0,0.0,0.0,0.0,2039290.0,0.0
27.0,58.0,0.0,1.0,0.0,2039277.0,0.0
27.0,58.0,0.0,1.0,0.0,2039275.0,0.0
31.0,73.0,0.0,2.0,0.0,2039254.0,0.0
33.0,67.0,0.0,2.0,0.0,2039251.0,0.0
41.0,70.0,0.0,1.0,0.0,2039228.0,0.0
39.0,80.0,0.0,1.0,0.0,2039226.0,0.0
42.0,80.0,0.0,2.0,0.0,2039204.0,0.0
41.0,82.0,0.0,2.0,0.0,2039200.0,0.0
49.0,111.0,0.0,3.0,0.0,2039179.0,0.0
46.0,110.0,0.0,3.0,0.0,2039177.0,0.0
61.0,144.0,0.0,4.0,0.0,2039137.0,0.0
59.0,136.0,0.0,4.0,0.0,2039135.0,0.0
57.0,155.0,0.0,7.0,0.0,2039096.0,0.0
61.0,162.0,0.0,7.0,0.0,2039095.0,0.0
77.0,187.0,0.0,11.0,1.0,2039061.0,0.0
88.0,183.0,0.0,11.0,3.0,2039058.0,0.0
86.0,179.0,1.0,13.0,7.0,2039013.0,0.0
81.0,197.0,2.0,13.0,9.0,2039009.0,0.0
109.0,238.0,4.0,12.0,18.0,2038957.0,0.0
117.0,221.0,4.0,13.0,14.0,2038954.0,0.0
139.0,262.0,4.0,14.0,25.0,2038894.0,0.0
141.0,280.0,4.0,14.0,24.0,2038890.0,0.0
171.0,345.0,4.0,13.0,24.0,2038802.0,0.0
175.0,363.0,4.0,13.0,29.0,2038796.0,0.0
203.0,439.0,4.0,14.0,33.0,2038704.0,0.0
207.0,495.0,4.0,14.0,33.0,2038699.0,0.0
272.0,544.0,3.0,14.0,39.0,2038570.0,0.0
255.0,556.0,3.0,14.0,40.0,2038563.0,0.0
301.0,691.0,4.0,19.0,48.0,2038422.0,0.0
304.0,714.0,4.0,20.0,49.0,2038415.0,0.0
387.0,790.0,4.0,23.0,52.0,2038242.0,0.0
363.0,783.0,5.0,23.0,56.0,2038232.0,0.0
452.0,843.0,9.0,27.0,84.0,2038021.0,0.0
475.0,892.0,9.0,28.0,84.0,2038010.0,0.0
587.0,1088.0,12.0,33.0,101.0,2037751.0,0.0
589.0,1077.0,12.0,33.0,99.0,2037737.0,0.0
786.0,1188.0,13.0,48.0,120.0,2037437.0,1.0
790.0,1229.0,13.0,50.0,118.0,2037419.0,1.0
1003.0,1380.0,16.0,59.0,149.0,2037054.0,1.0
997.0,1378.0,17.0,58.0,151.0,2037035.0,1.0
1167.0,1529.0,26.0,80.0,173.0,2036603.0,1.0
1163.0,1577.0,26.0,82.0,175.0,2036579.0,1.0
1376.0,1773.0,30.0,86.0,217.0,2036083.0,1.0
1412.0,1780.0,30.0,88.0,221.0,2036056.0,1.0
1555.0,2065.0,40.0,93.0,280.0,2035474.0,1.0
1568.0,2009.0,40.0,94.0,285.0,2035443.0,1.0
