"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1854556.0,0.0
0.0,12.0,0.0,0.0,0.0,1854587.0,0.0
0.0,30.0,0.0,1.0,0.0,1854647.0,0.0
0.0,28.0,0.0,2.0,0.0,1854677.0,0.0
0.0,43.0,0.0,5.0,0.0,1854725.0,0.0
0.0,43.0,0.0,6.0,0.0,1854753.0,0.0
0.0,41.0,0.0,11.0,0.0,1854799.0,0.0
0.0,40.0,0.0,11.0,0.0,1854828.0,0.0
0.0,52.0,0.0,12.0,0.0,1854869.0,0.0
0.0,48.0,0.0,12.0,0.0,1854895.0,0.0
0.0,60.0,0.0,14.0,0.0,1854934.0,0.0
0.0,52.0,0.0,14.0,0.0,1854961.0,0.0
22.0,65.0,0.0,10.0,0.0,1854992.0,0.0
17.0,59.0,0.0,10.0,0.0,1855016.0,0.0
28.0,79.0,1.0,10.0,0.0,1855045.0,0.0
23.0,55.0,1.0,10.0,0.0,1855069.0,0.0
34.0,71.0,1.0,10.0,0.0,1855096.0,0.0
34.0,77.0,1.0,10.0,0.0,1855121.0,0.0
46.0,82.0,3.0,11.0,0.0,1855147.0,0.0
42.0,76.0,3.0,12.0,0.0,1855170.0,0.0
41.0,97.0,6.0,11.0,0.0,1855184.0,0.0
45.0,86.0,6.0,11.0,0.0,1855207.0,0.0
47.0,136.0,8.0,12.0,0.0,1855208.0,0.0
48.0,127.0,8.0,12.0,0.0,1855229.0,0.0
56.0,169.0,12.0,17.0,0.0,1855226.0,0.0
64.0,171.0,13.0,17.0,0.0,1855248.0,0.0
77.0,221.0,16.0,19.0,0.0,1855234.0,0.0
74.0,212.0,16.0,19.0,0.0,1855258.0,0.0
98.0,234.0,22.0,17.0,0.0,1855218.0,0.0
89.0,228.0,22.0,18.0,0.0,1855239.0,0.0
109.0,293.0,26.0,27.0,0.0,1855167.0,0.0
105.0,285.0,26.0,27.0,0.0,1855188.0,0.0
143.0,351.0,29.0,40.0,4.0,1855134.0,0.0
123.0,345.0,29.0,40.0,4.0,1855152.0,0.0
166.0,425.0,31.0,62.0,15.0,1855065.0,0.0
158.0,445.0,31.0,63.0,17.0,1855083.0,0.0
192.0,486.0,40.0,68.0,34.0,1854958.0,0.0
194.0,481.0,41.0,70.0,31.0,1854972.0,0.0
267.0,579.0,45.0,83.0,40.0,1854816.0,0.0
241.0,574.0,45.0,84.0,43.0,1854835.0,0.0
347.0,675.0,55.0,95.0,56.0,1854631.0,0.0
341.0,684.0,55.0,95.0,44.0,1854646.0,0.0
403.0,725.0,67.0,103.0,47.0,1854392.0,1.0
396.0,723.0,67.0,104.0,42.0,1854407.0,1.0
479.0,864.0,78.0,125.0,56.0,1854101.0,1.0
494.0,842.0,79.0,128.0,61.0,1854113.0,1.0
578.0,952.0,92.0,150.0,76.0,1853755.0,1.0
578.0,956.0,93.0,155.0,83.0,1853767.0,1.0
690.0,1101.0,113.0,189.0,79.0,1853333.0,1.0
758.0,1138.0,116.0,192.0,74.0,1853342.0,1.0
886.0,1342.0,145.0,242.0,107.0,1852808.0,1.0
875.0,1339.0,144.0,243.0,115.0,1852814.0,1.0
1012.0,1520.0,173.0,287.0,153.0,1852185.0,1.0
962.0,1534.0,174.0,291.0,154.0,1852190.0,1.0
1111.0,1851.0,227.0,324.0,202.0,1851473.0,1.0
1122.0,1782.0,228.0,332.0,208.0,1851472.0,1.0
1253.0,2172.0,245.0,373.0,303.0,1850627.0,1.0
1273.0,2061.0,246.0,377.0,305.0,1850625.0,1.0
1459.0,2622.0,308.0,448.0,409.0,1849650.0,1.0
1536.0,2568.0,314.0,442.0,411.0,1849646.0,1.0
1651.0,3132.0,365.0,548.0,536.0,1848430.0,1.0
1677.0,3057.0,370.0,560.0,542.0,1848417.0,1.0
1793.0,3711.0,393.0,680.0,734.0,1847037.0,1.0
1878.0,3592.0,400.0,691.0,733.0,1847021.0,2.0
