"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,738587.0,0.0
0.0,10.0,0.0,0.0,0.0,738590.0,0.0
0.0,17.0,0.0,1.0,0.0,738594.0,0.0
0.0,17.0,0.0,1.0,0.0,738596.0,0.0
0.0,20.0,0.0,1.0,0.0,738598.0,0.0
0.0,21.0,0.0,1.0,0.0,738600.0,0.0
0.0,27.0,0.0,1.0,0.0,738603.0,0.0
0.0,25.0,0.0,1.0,0.0,738606.0,0.0
0.0,29.0,0.0,1.0,0.0,738607.0,0.0
0.0,29.0,0.0,1.0,0.0,738610.0,0.0
0.0,31.0,0.0,2.0,0.0,738611.0,0.0
0.0,28.0,0.0,2.0,0.0,738614.0,0.0
5.0,29.0,0.0,2.0,0.0,738612.0,0.0
8.0,28.0,0.0,2.0,0.0,738615.0,0.0
12.0,27.0,0.0,1.0,0.0,738615.0,0.0
12.0,26.0,0.0,1.0,0.0,738617.0,0.0
18.0,27.0,0.0,2.0,0.0,738620.0,0.0
17.0,34.0,0.0,2.0,0.0,738622.0,0.0
23.0,39.0,0.0,2.0,0.0,738618.0,0.0
20.0,45.0,0.0,2.0,0.0,738621.0,0.0
22.0,56.0,0.0,2.0,0.0,738618.0,0.0
26.0,60.0,0.0,2.0,0.0,738621.0,0.0
29.0,63.0,0.0,3.0,0.0,738614.0,0.0
28.0,67.0,0.0,3.0,0.0,738617.0,0.0
40.0,78.0,0.0,1.0,0.0,738609.0,0.0
37.0,86.0,0.0,1.0,0.0,738612.0,0.0
42.0,91.0,0.0,1.0,0.0,738597.0,0.0
42.0,86.0,0.0,1.0,0.0,738597.0,0.0
47.0,114.0,0.0,1.0,0.0,738586.0,0.0
46.0,114.0,0.0,1.0,0.0,738588.0,0.0
60.0,135.0,0.0,1.0,0.0,738569.0,0.0
59.0,134.0,0.0,1.0,0.0,738572.0,0.0
67.0,158.0,0.0,3.0,4.0,738553.0,0.0
69.0,155.0,0.0,3.0,3.0,738556.0,0.0
97.0,212.0,0.0,4.0,6.0,738533.0,0.0
87.0,209.0,0.0,4.0,6.0,738534.0,0.0
103.0,257.0,0.0,6.0,10.0,738477.0,0.0
102.0,267.0,0.0,6.0,11.0,738477.0,0.0
129.0,324.0,1.0,10.0,13.0,738412.0,0.0
125.0,335.0,1.0,10.0,9.0,738413.0,0.0
154.0,390.0,1.0,11.0,16.0,738337.0,0.0
155.0,388.0,2.0,11.0,18.0,738337.0,0.0
213.0,480.0,3.0,12.0,27.0,738250.0,0.0
205.0,511.0,3.0,12.0,27.0,738247.0,0.0
275.0,625.0,5.0,16.0,36.0,738121.0,0.0
295.0,648.0,5.0,15.0,38.0,738112.0,0.0
367.0,750.0,7.0,17.0,45.0,737942.0,0.0
355.0,748.0,7.0,18.0,50.0,737941.0,0.0
431.0,924.0,10.0,22.0,55.0,737760.0,0.0
418.0,944.0,10.0,22.0,51.0,737755.0,0.0
526.0,1046.0,11.0,30.0,69.0,737528.0,0.0
559.0,1029.0,11.0,30.0,73.0,737521.0,0.0
674.0,1136.0,13.0,39.0,90.0,737256.0,0.0
691.0,1131.0,14.0,40.0,92.0,737250.0,0.0
909.0,1239.0,20.0,56.0,107.0,736937.0,1.0
901.0,1258.0,22.0,59.0,107.0,736929.0,1.0
1096.0,1527.0,20.0,73.0,144.0,736546.0,1.0
1101.0,1564.0,20.0,73.0,143.0,736534.0,1.0
1371.0,1740.0,24.0,84.0,188.0,736072.0,1.0
1369.0,1788.0,24.0,83.0,194.0,736057.0,1.0
1528.0,2004.0,39.0,90.0,234.0,735516.0,1.0
1513.0,2013.0,39.0,90.0,234.0,735500.0,1.0
1763.0,2211.0,43.0,114.0,306.0,734895.0,1.0
1715.0,2261.0,43.0,116.0,317.0,734878.0,1.0
