"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,869603.0,0.0
0.0,7.0,0.0,0.0,0.0,869603.0,0.0
0.0,13.0,0.0,0.0,0.0,869603.0,0.0
0.0,17.0,0.0,0.0,0.0,869603.0,0.0
0.0,21.0,0.0,0.0,0.0,869600.0,0.0
0.0,20.0,0.0,0.0,0.0,869600.0,0.0
0.0,15.0,0.0,0.0,0.0,869597.0,0.0
0.0,21.0,0.0,0.0,0.0,869597.0,0.0
0.0,24.0,0.0,0.0,0.0,869594.0,0.0
0.0,28.0,0.0,0.0,0.0,869593.0,0.0
0.0,33.0,0.0,2.0,0.0,869590.0,0.0
0.0,38.0,0.0,2.0,0.0,869590.0,0.0
14.0,29.0,0.0,2.0,0.0,869587.0,0.0
13.0,30.0,0.0,2.0,0.0,869588.0,0.0
15.0,36.0,0.0,0.0,0.0,869578.0,0.0
11.0,37.0,0.0,0.0,0.0,869579.0,0.0
14.0,44.0,0.0,0.0,0.0,869574.0,0.0
13.0,45.0,0.0,0.0,0.0,869574.0,0.0
13.0,48.0,0.0,0.0,0.0,869572.0,0.0
16.0,45.0,0.0,0.0,0.0,869573.0,0.0
26.0,59.0,0.0,0.0,0.0,869560.0,0.0
22.0,54.0,0.0,0.0,0.0,869561.0,0.0
36.0,58.0,0.0,1.0,0.0,869556.0,0.0
30.0,61.0,0.0,2.0,0.0,869557.0,0.0
39.0,64.0,0.0,3.0,0.0,869543.0,0.0
34.0,69.0,0.0,3.0,0.0,869543.0,0.0
42.0,87.0,1.0,6.0,0.0,869523.0,0.0
47.0,86.0,1.0,6.0,0.0,869522.0,0.0
45.0,97.0,2.0,7.0,0.0,869507.0,0.0
55.0,117.0,2.0,7.0,0.0,869506.0,0.0
65.0,126.0,2.0,8.0,0.0,869484.0,0.0
63.0,135.0,2.0,8.0,0.0,869483.0,0.0
87.0,155.0,3.0,9.0,4.0,869453.0,0.0
87.0,156.0,3.0,9.0,5.0,869453.0,0.0
83.0,171.0,4.0,9.0,8.0,869412.0,0.0
98.0,184.0,4.0,9.0,13.0,869411.0,0.0
103.0,219.0,4.0,11.0,18.0,869365.0,0.0
107.0,235.0,4.0,12.0,22.0,869364.0,0.0
126.0,240.0,6.0,13.0,27.0,869297.0,0.0
126.0,270.0,6.0,13.0,25.0,869293.0,0.0
141.0,322.0,5.0,10.0,28.0,869213.0,0.0
139.0,318.0,5.0,10.0,33.0,869210.0,0.0
166.0,359.0,4.0,14.0,44.0,869130.0,0.0
176.0,381.0,4.0,14.0,45.0,869128.0,0.0
212.0,461.0,3.0,15.0,46.0,869036.0,0.0
208.0,494.0,3.0,15.0,49.0,869029.0,0.0
235.0,590.0,3.0,20.0,48.0,868884.0,0.0
266.0,627.0,3.0,20.0,44.0,868874.0,0.0
348.0,707.0,4.0,28.0,53.0,868737.0,0.0
357.0,725.0,4.0,28.0,63.0,868729.0,0.0
431.0,912.0,6.0,35.0,76.0,868527.0,0.0
422.0,920.0,6.0,35.0,70.0,868521.0,0.0
489.0,1115.0,6.0,37.0,91.0,868290.0,0.0
493.0,1131.0,6.0,37.0,86.0,868280.0,0.0
647.0,1234.0,10.0,47.0,109.0,868008.0,0.0
656.0,1194.0,10.0,47.0,114.0,867999.0,0.0
766.0,1336.0,17.0,56.0,153.0,867693.0,0.0
800.0,1343.0,17.0,57.0,160.0,867684.0,0.0
973.0,1440.0,22.0,62.0,203.0,867317.0,0.0
939.0,1409.0,22.0,62.0,205.0,867303.0,0.0
1149.0,1505.0,23.0,80.0,232.0,866895.0,1.0
1113.0,1529.0,23.0,85.0,228.0,866879.0,1.0
1360.0,1712.0,31.0,94.0,265.0,866408.0,2.0
1387.0,1702.0,32.0,95.0,262.0,866389.0,1.0
