"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,633801.0,0.0
0.0,8.0,0.0,0.0,0.0,633800.0,0.0
0.0,11.0,0.0,0.0,0.0,633797.0,0.0
0.0,16.0,0.0,0.0,0.0,633795.0,0.0
0.0,18.0,0.0,0.0,0.0,633792.0,0.0
0.0,18.0,0.0,0.0,0.0,633792.0,0.0
0.0,22.0,0.0,0.0,0.0,633790.0,0.0
0.0,21.0,0.0,0.0,0.0,633790.0,0.0
0.0,29.0,0.0,1.0,0.0,633787.0,0.0
0.0,29.0,0.0,1.0,0.0,633786.0,0.0
0.0,36.0,0.0,1.0,0.0,633782.0,0.0
0.0,33.0,0.0,1.0,0.0,633782.0,0.0
6.0,36.0,0.0,1.0,0.0,633774.0,0.0
9.0,30.0,0.0,1.0,0.0,633774.0,0.0
16.0,26.0,0.0,1.0,0.0,633771.0,0.0
16.0,33.0,0.0,1.0,0.0,633771.0,0.0
14.0,38.0,0.0,1.0,0.0,633767.0,0.0
11.0,39.0,0.0,1.0,0.0,633767.0,0.0
23.0,46.0,0.0,1.0,0.0,633761.0,0.0
24.0,49.0,0.0,1.0,0.0,633761.0,0.0
22.0,52.0,0.0,1.0,0.0,633747.0,0.0
19.0,52.0,0.0,1.0,0.0,633747.0,0.0
30.0,64.0,0.0,1.0,0.0,633740.0,0.0
31.0,54.0,0.0,1.0,0.0,633740.0,0.0
38.0,70.0,0.0,1.0,0.0,633729.0,0.0
36.0,66.0,0.0,1.0,0.0,633728.0,0.0
46.0,83.0,1.0,1.0,0.0,633703.0,0.0
41.0,89.0,1.0,1.0,0.0,633703.0,0.0
52.0,102.0,1.0,1.0,0.0,633683.0,0.0
48.0,97.0,1.0,1.0,0.0,633684.0,0.0
52.0,112.0,2.0,3.0,0.0,633665.0,0.0
64.0,109.0,2.0,3.0,0.0,633664.0,0.0
80.0,132.0,1.0,4.0,2.0,633643.0,0.0
78.0,128.0,1.0,4.0,1.0,633643.0,0.0
80.0,170.0,1.0,3.0,7.0,633601.0,0.0
84.0,155.0,1.0,3.0,7.0,633600.0,0.0
101.0,184.0,3.0,3.0,10.0,633569.0,0.0
100.0,189.0,3.0,3.0,3.0,633569.0,0.0
125.0,213.0,5.0,2.0,16.0,633517.0,0.0
123.0,204.0,5.0,2.0,13.0,633518.0,0.0
139.0,241.0,5.0,4.0,21.0,633469.0,0.0
141.0,254.0,5.0,4.0,17.0,633470.0,0.0
174.0,329.0,6.0,7.0,19.0,633400.0,0.0
158.0,311.0,6.0,8.0,21.0,633398.0,0.0
187.0,332.0,12.0,10.0,23.0,633324.0,0.0
181.0,348.0,12.0,10.0,32.0,633323.0,0.0
227.0,377.0,12.0,10.0,42.0,633241.0,0.0
236.0,376.0,12.0,10.0,37.0,633237.0,0.0
276.0,477.0,12.0,15.0,53.0,633128.0,0.0
264.0,476.0,12.0,16.0,53.0,633125.0,0.0
311.0,626.0,12.0,22.0,70.0,632995.0,0.0
318.0,585.0,12.0,22.0,70.0,632993.0,0.0
399.0,735.0,12.0,28.0,83.0,632831.0,0.0
367.0,751.0,12.0,29.0,88.0,632823.0,0.0
456.0,866.0,13.0,28.0,106.0,632624.0,0.0
469.0,901.0,13.0,29.0,107.0,632617.0,0.0
533.0,974.0,15.0,40.0,139.0,632396.0,0.0
511.0,993.0,15.0,40.0,135.0,632389.0,0.0
612.0,1208.0,16.0,52.0,159.0,632124.0,0.0
610.0,1211.0,15.0,52.0,165.0,632115.0,0.0
797.0,1354.0,16.0,58.0,199.0,631807.0,0.0
844.0,1395.0,17.0,57.0,199.0,631795.0,0.0
960.0,1487.0,19.0,73.0,240.0,631419.0,1.0
1013.0,1491.0,20.0,77.0,250.0,631405.0,1.0
