"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,652314.0,0.0
0.0,15.0,0.0,0.0,0.0,652313.0,0.0
0.0,17.0,0.0,0.0,0.0,652311.0,0.0
0.0,20.0,0.0,0.0,0.0,652310.0,0.0
0.0,10.0,0.0,0.0,0.0,652306.0,0.0
0.0,11.0,0.0,0.0,0.0,652305.0,0.0
0.0,14.0,0.0,1.0,0.0,652302.0,0.0
0.0,15.0,0.0,1.0,0.0,652301.0,0.0
0.0,20.0,0.0,1.0,0.0,652297.0,0.0
0.0,21.0,0.0,1.0,0.0,652296.0,0.0
0.0,20.0,0.0,1.0,0.0,652292.0,0.0
0.0,22.0,0.0,1.0,0.0,652291.0,0.0
4.0,21.0,0.0,1.0,0.0,652285.0,0.0
6.0,24.0,0.0,1.0,0.0,652283.0,0.0
10.0,22.0,0.0,0.0,0.0,652280.0,0.0
8.0,28.0,0.0,0.0,0.0,652279.0,0.0
8.0,29.0,0.0,0.0,0.0,652276.0,0.0
10.0,30.0,0.0,0.0,0.0,652275.0,0.0
13.0,36.0,0.0,0.0,0.0,652270.0,0.0
13.0,32.0,0.0,0.0,0.0,652270.0,0.0
14.0,33.0,0.0,0.0,0.0,652264.0,0.0
15.0,40.0,0.0,0.0,0.0,652264.0,0.0
14.0,48.0,0.0,0.0,0.0,652257.0,0.0
15.0,47.0,0.0,0.0,0.0,652257.0,0.0
21.0,49.0,0.0,0.0,0.0,652246.0,0.0
21.0,48.0,0.0,0.0,0.0,652245.0,0.0
23.0,52.0,0.0,0.0,0.0,652231.0,0.0
24.0,52.0,0.0,0.0,0.0,652231.0,0.0
31.0,77.0,0.0,0.0,0.0,652214.0,0.0
34.0,68.0,0.0,0.0,0.0,652213.0,0.0
39.0,97.0,0.0,0.0,0.0,652201.0,0.0
40.0,85.0,0.0,0.0,0.0,652200.0,0.0
47.0,83.0,0.0,1.0,2.0,652175.0,0.0
48.0,89.0,0.0,1.0,1.0,652175.0,0.0
47.0,104.0,1.0,2.0,3.0,652155.0,0.0
44.0,107.0,1.0,2.0,3.0,652154.0,0.0
74.0,133.0,1.0,3.0,1.0,652115.0,0.0
70.0,142.0,1.0,3.0,5.0,652112.0,0.0
78.0,161.0,1.0,3.0,4.0,652075.0,0.0
83.0,154.0,1.0,3.0,6.0,652073.0,0.0
87.0,166.0,1.0,3.0,11.0,652031.0,0.0
97.0,176.0,1.0,3.0,11.0,652028.0,0.0
120.0,213.0,2.0,5.0,19.0,651976.0,0.0
121.0,221.0,2.0,5.0,25.0,651974.0,0.0
149.0,275.0,1.0,6.0,39.0,651907.0,0.0
148.0,281.0,1.0,6.0,35.0,651904.0,0.0
178.0,324.0,1.0,6.0,44.0,651829.0,0.0
161.0,336.0,1.0,6.0,43.0,651820.0,0.0
186.0,413.0,1.0,7.0,48.0,651731.0,0.0
192.0,388.0,1.0,7.0,45.0,651726.0,0.0
227.0,487.0,3.0,7.0,51.0,651623.0,0.0
247.0,540.0,3.0,7.0,47.0,651617.0,0.0
265.0,613.0,5.0,12.0,58.0,651497.0,0.0
284.0,637.0,5.0,12.0,57.0,651492.0,0.0
331.0,743.0,6.0,12.0,60.0,651339.0,0.0
349.0,799.0,6.0,13.0,63.0,651333.0,0.0
417.0,866.0,5.0,21.0,89.0,651104.0,0.0
447.0,907.0,5.0,20.0,92.0,651094.0,0.0
523.0,949.0,6.0,25.0,97.0,650879.0,0.0
556.0,975.0,6.0,27.0,96.0,650869.0,0.0
683.0,1093.0,9.0,36.0,118.0,650603.0,0.0
682.0,1126.0,10.0,36.0,124.0,650592.0,0.0
836.0,1360.0,9.0,42.0,164.0,650273.0,0.0
928.0,1384.0,9.0,45.0,165.0,650258.0,0.0
