"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1125297.0,0.0
0.0,14.0,0.0,0.0,0.0,1125296.0,0.0
0.0,13.0,0.0,0.0,0.0,1125292.0,0.0
0.0,12.0,0.0,0.0,0.0,1125291.0,0.0
0.0,11.0,0.0,0.0,0.0,1125286.0,0.0
0.0,11.0,0.0,0.0,0.0,1125285.0,0.0
0.0,13.0,0.0,0.0,0.0,1125280.0,0.0
0.0,10.0,0.0,0.0,0.0,1125279.0,0.0
0.0,18.0,0.0,0.0,0.0,1125275.0,0.0
0.0,20.0,0.0,0.0,0.0,1125274.0,0.0
0.0,25.0,0.0,0.0,0.0,1125270.0,0.0
0.0,26.0,0.0,0.0,0.0,1125269.0,0.0
2.0,23.0,0.0,0.0,0.0,1125264.0,0.0
2.0,22.0,0.0,0.0,0.0,1125263.0,0.0
5.0,21.0,0.0,0.0,0.0,1125261.0,0.0
6.0,21.0,0.0,0.0,0.0,1125260.0,0.0
8.0,24.0,0.0,0.0,0.0,1125254.0,0.0
7.0,25.0,0.0,0.0,0.0,1125253.0,0.0
8.0,26.0,0.0,1.0,0.0,1125249.0,0.0
9.0,29.0,0.0,1.0,0.0,1125247.0,0.0
13.0,34.0,0.0,1.0,0.0,1125238.0,0.0
14.0,38.0,0.0,1.0,0.0,1125237.0,0.0
17.0,35.0,0.0,2.0,0.0,1125225.0,0.0
20.0,36.0,0.0,2.0,0.0,1125224.0,0.0
22.0,44.0,0.0,4.0,0.0,1125210.0,0.0
22.0,42.0,0.0,4.0,0.0,1125207.0,0.0
25.0,50.0,0.0,5.0,0.0,1125199.0,0.0
25.0,51.0,0.0,5.0,0.0,1125198.0,0.0
29.0,57.0,0.0,4.0,0.0,1125188.0,0.0
31.0,58.0,0.0,4.0,0.0,1125187.0,0.0
36.0,65.0,0.0,3.0,0.0,1125170.0,0.0
33.0,71.0,0.0,3.0,0.0,1125169.0,0.0
36.0,77.0,0.0,6.0,1.0,1125148.0,0.0
40.0,78.0,0.0,6.0,2.0,1125147.0,0.0
45.0,93.0,1.0,6.0,11.0,1125130.0,0.0
48.0,92.0,1.0,6.0,7.0,1125126.0,0.0
65.0,103.0,2.0,5.0,4.0,1125095.0,0.0
60.0,101.0,2.0,5.0,6.0,1125094.0,0.0
60.0,124.0,2.0,7.0,10.0,1125058.0,0.0
68.0,127.0,2.0,7.0,6.0,1125057.0,0.0
76.0,137.0,2.0,7.0,6.0,1125016.0,0.0
81.0,146.0,2.0,7.0,8.0,1125015.0,0.0
88.0,163.0,2.0,10.0,5.0,1124986.0,0.0
100.0,150.0,2.0,9.0,5.0,1124985.0,0.0
107.0,181.0,2.0,8.0,13.0,1124935.0,0.0
105.0,201.0,2.0,8.0,13.0,1124932.0,0.0
139.0,234.0,3.0,7.0,15.0,1124874.0,0.0
142.0,232.0,3.0,7.0,10.0,1124870.0,0.0
158.0,279.0,3.0,8.0,19.0,1124808.0,0.0
168.0,332.0,3.0,8.0,17.0,1124801.0,0.0
170.0,377.0,3.0,10.0,22.0,1124700.0,0.0
178.0,407.0,3.0,10.0,24.0,1124690.0,0.0
215.0,425.0,4.0,9.0,36.0,1124596.0,0.0
221.0,467.0,4.0,9.0,37.0,1124590.0,0.0
290.0,547.0,6.0,12.0,39.0,1124460.0,0.0
299.0,573.0,6.0,12.0,39.0,1124453.0,0.0
324.0,702.0,8.0,14.0,52.0,1124299.0,0.0
336.0,743.0,8.0,15.0,53.0,1124291.0,0.0
453.0,863.0,7.0,21.0,64.0,1124104.0,0.0
449.0,871.0,7.0,20.0,66.0,1124092.0,0.0
561.0,1027.0,7.0,29.0,84.0,1123845.0,0.0
576.0,1045.0,7.0,30.0,81.0,1123832.0,0.0
715.0,1255.0,8.0,32.0,119.0,1123544.0,0.0
760.0,1295.0,9.0,32.0,123.0,1123528.0,0.0
