"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,678224.0,0.0
0.0,14.0,0.0,0.0,0.0,678223.0,0.0
0.0,18.0,0.0,0.0,0.0,678214.0,0.0
0.0,13.0,0.0,0.0,0.0,678213.0,0.0
0.0,15.0,0.0,0.0,0.0,678210.0,0.0
0.0,15.0,0.0,0.0,0.0,678209.0,0.0
0.0,17.0,0.0,0.0,0.0,678205.0,0.0
0.0,17.0,0.0,0.0,0.0,678204.0,0.0
0.0,19.0,0.0,0.0,0.0,678200.0,0.0
0.0,19.0,0.0,0.0,0.0,678199.0,0.0
0.0,20.0,0.0,0.0,0.0,678195.0,0.0
0.0,27.0,0.0,0.0,0.0,678193.0,0.0
5.0,22.0,0.0,0.0,0.0,678189.0,0.0
6.0,23.0,0.0,0.0,0.0,678186.0,0.0
9.0,26.0,0.0,0.0,0.0,678176.0,0.0
10.0,24.0,0.0,0.0,0.0,678174.0,0.0
11.0,29.0,0.0,0.0,0.0,678163.0,0.0
14.0,31.0,0.0,0.0,0.0,678160.0,0.0
12.0,30.0,1.0,0.0,0.0,678150.0,0.0
12.0,28.0,1.0,0.0,0.0,678148.0,0.0
16.0,37.0,1.0,0.0,0.0,678137.0,0.0
17.0,41.0,1.0,0.0,0.0,678134.0,0.0
23.0,44.0,1.0,1.0,0.0,678119.0,0.0
22.0,41.0,1.0,1.0,0.0,678117.0,0.0
26.0,59.0,1.0,1.0,0.0,678105.0,0.0
26.0,53.0,1.0,1.0,0.0,678103.0,0.0
34.0,64.0,1.0,1.0,0.0,678081.0,0.0
36.0,71.0,1.0,1.0,0.0,678077.0,0.0
38.0,67.0,1.0,1.0,0.0,678057.0,0.0
40.0,73.0,1.0,1.0,0.0,678053.0,0.0
53.0,74.0,1.0,2.0,0.0,678032.0,0.0
53.0,80.0,1.0,2.0,0.0,678030.0,0.0
53.0,81.0,1.0,2.0,1.0,678005.0,0.0
58.0,93.0,1.0,2.0,1.0,678003.0,0.0
72.0,94.0,1.0,2.0,6.0,677980.0,0.0
73.0,96.0,1.0,2.0,5.0,677976.0,0.0
70.0,116.0,1.0,0.0,6.0,677947.0,0.0
75.0,110.0,1.0,0.0,8.0,677943.0,0.0
87.0,129.0,3.0,1.0,7.0,677907.0,0.0
91.0,124.0,3.0,1.0,7.0,677905.0,0.0
98.0,148.0,1.0,1.0,8.0,677870.0,0.0
94.0,141.0,1.0,1.0,14.0,677869.0,0.0
109.0,169.0,1.0,3.0,17.0,677823.0,0.0
106.0,163.0,2.0,3.0,14.0,677821.0,0.0
113.0,168.0,2.0,5.0,15.0,677776.0,0.0
126.0,172.0,2.0,5.0,10.0,677775.0,0.0
141.0,220.0,3.0,10.0,12.0,677722.0,0.0
147.0,240.0,3.0,10.0,14.0,677720.0,0.0
166.0,262.0,3.0,11.0,29.0,677657.0,0.0
161.0,268.0,3.0,11.0,38.0,677656.0,0.0
179.0,287.0,2.0,11.0,46.0,677569.0,0.0
185.0,275.0,2.0,11.0,46.0,677567.0,0.0
207.0,308.0,2.0,10.0,53.0,677494.0,0.0
209.0,335.0,2.0,10.0,48.0,677493.0,0.0
250.0,382.0,4.0,10.0,56.0,677403.0,0.0
243.0,414.0,4.0,10.0,52.0,677395.0,0.0
267.0,543.0,5.0,15.0,67.0,677275.0,0.0
269.0,517.0,6.0,15.0,67.0,677265.0,0.0
299.0,611.0,7.0,24.0,79.0,677137.0,0.0
301.0,626.0,7.0,24.0,80.0,677126.0,0.0
383.0,806.0,10.0,30.0,87.0,676968.0,0.0
391.0,808.0,10.0,31.0,93.0,676961.0,0.0
521.0,905.0,13.0,40.0,109.0,676765.0,0.0
472.0,951.0,13.0,40.0,108.0,676752.0,0.0
