"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1078362.0,0.0
0.0,14.0,0.0,0.0,0.0,1078359.0,0.0
0.0,13.0,0.0,1.0,0.0,1078352.0,0.0
0.0,11.0,0.0,1.0,0.0,1078350.0,0.0
0.0,21.0,0.0,1.0,0.0,1078346.0,0.0
0.0,19.0,0.0,1.0,0.0,1078344.0,0.0
0.0,24.0,0.0,1.0,0.0,1078333.0,0.0
0.0,27.0,0.0,1.0,0.0,1078330.0,0.0
0.0,27.0,0.0,1.0,0.0,1078322.0,0.0
0.0,27.0,0.0,1.0,0.0,1078319.0,0.0
0.0,30.0,0.0,1.0,0.0,1078309.0,0.0
0.0,32.0,0.0,1.0,0.0,1078307.0,0.0
7.0,22.0,0.0,1.0,0.0,1078300.0,0.0
8.0,25.0,0.0,1.0,0.0,1078298.0,0.0
10.0,28.0,0.0,1.0,0.0,1078287.0,0.0
14.0,33.0,0.0,1.0,0.0,1078284.0,0.0
14.0,41.0,0.0,0.0,0.0,1078273.0,0.0
16.0,39.0,0.0,0.0,0.0,1078270.0,0.0
17.0,39.0,0.0,0.0,0.0,1078259.0,0.0
18.0,39.0,0.0,0.0,0.0,1078256.0,0.0
23.0,45.0,0.0,1.0,0.0,1078243.0,0.0
21.0,47.0,0.0,1.0,0.0,1078240.0,0.0
28.0,50.0,0.0,1.0,0.0,1078223.0,0.0
36.0,53.0,0.0,1.0,0.0,1078220.0,0.0
36.0,66.0,0.0,0.0,0.0,1078198.0,0.0
36.0,67.0,0.0,0.0,0.0,1078194.0,0.0
33.0,64.0,0.0,1.0,0.0,1078168.0,0.0
33.0,65.0,0.0,1.0,0.0,1078165.0,0.0
42.0,81.0,0.0,0.0,0.0,1078138.0,0.0
43.0,84.0,0.0,0.0,0.0,1078134.0,0.0
57.0,102.0,0.0,1.0,0.0,1078109.0,0.0
58.0,100.0,0.0,1.0,0.0,1078104.0,0.0
53.0,106.0,0.0,2.0,1.0,1078074.0,0.0
60.0,106.0,0.0,2.0,1.0,1078071.0,0.0
69.0,119.0,0.0,2.0,2.0,1078031.0,0.0
74.0,108.0,0.0,2.0,3.0,1078027.0,0.0
72.0,131.0,0.0,3.0,7.0,1078002.0,0.0
79.0,121.0,1.0,3.0,8.0,1077998.0,0.0
90.0,153.0,2.0,4.0,4.0,1077962.0,0.0
98.0,137.0,2.0,4.0,7.0,1077957.0,0.0
106.0,169.0,2.0,5.0,4.0,1077912.0,0.0
103.0,163.0,2.0,5.0,13.0,1077911.0,0.0
119.0,194.0,2.0,8.0,12.0,1077867.0,0.0
125.0,174.0,2.0,8.0,11.0,1077862.0,0.0
146.0,213.0,4.0,7.0,5.0,1077801.0,0.0
152.0,198.0,4.0,7.0,9.0,1077798.0,0.0
168.0,251.0,5.0,5.0,19.0,1077729.0,0.0
161.0,250.0,5.0,5.0,20.0,1077725.0,0.0
193.0,298.0,5.0,9.0,22.0,1077649.0,0.0
194.0,252.0,5.0,9.0,26.0,1077641.0,0.0
196.0,327.0,8.0,9.0,22.0,1077570.0,0.0
196.0,270.0,8.0,9.0,40.0,1077564.0,0.0
247.0,398.0,9.0,10.0,51.0,1077463.0,0.0
261.0,364.0,9.0,10.0,54.0,1077451.0,0.0
275.0,423.0,8.0,11.0,71.0,1077350.0,0.0
251.0,442.0,9.0,11.0,71.0,1077340.0,0.0
326.0,500.0,8.0,14.0,86.0,1077213.0,0.0
294.0,529.0,9.0,14.0,92.0,1077203.0,0.0
371.0,597.0,10.0,21.0,114.0,1077046.0,0.0
319.0,605.0,10.0,21.0,116.0,1077032.0,0.0
437.0,764.0,10.0,26.0,142.0,1076815.0,1.0
386.0,767.0,10.0,26.0,141.0,1076800.0,1.0
495.0,853.0,10.0,30.0,167.0,1076603.0,1.0
484.0,773.0,10.0,30.0,171.0,1076584.0,1.0
