"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,753804.0,0.0
0.0,6.0,0.0,0.0,0.0,753803.0,0.0
0.0,8.0,0.0,0.0,0.0,753799.0,0.0
0.0,6.0,0.0,0.0,0.0,753798.0,0.0
0.0,8.0,0.0,0.0,0.0,753795.0,0.0
0.0,9.0,0.0,0.0,0.0,753794.0,0.0
0.0,15.0,0.0,0.0,0.0,753790.0,0.0
0.0,13.0,0.0,0.0,0.0,753789.0,0.0
0.0,11.0,0.0,1.0,0.0,753785.0,0.0
0.0,9.0,0.0,1.0,0.0,753784.0,0.0
0.0,10.0,0.0,1.0,0.0,753779.0,0.0
0.0,10.0,0.0,1.0,0.0,753778.0,0.0
1.0,10.0,0.0,1.0,0.0,753775.0,0.0
1.0,11.0,0.0,1.0,0.0,753774.0,0.0
2.0,9.0,0.0,0.0,0.0,753772.0,0.0
2.0,10.0,0.0,0.0,0.0,753771.0,0.0
3.0,11.0,0.0,1.0,0.0,753767.0,0.0
3.0,11.0,0.0,1.0,0.0,753766.0,0.0
6.0,12.0,0.0,0.0,0.0,753762.0,0.0
6.0,12.0,0.0,0.0,0.0,753761.0,0.0
6.0,12.0,0.0,1.0,0.0,753757.0,0.0
6.0,14.0,0.0,1.0,0.0,753756.0,0.0
7.0,15.0,0.0,1.0,0.0,753752.0,0.0
8.0,15.0,0.0,1.0,0.0,753751.0,0.0
10.0,22.0,0.0,0.0,0.0,753746.0,0.0
11.0,24.0,0.0,0.0,0.0,753744.0,0.0
14.0,30.0,0.0,0.0,0.0,753739.0,0.0
15.0,31.0,0.0,0.0,0.0,753738.0,0.0
19.0,39.0,0.0,1.0,0.0,753729.0,0.0
19.0,42.0,0.0,1.0,0.0,753727.0,0.0
25.0,48.0,0.0,1.0,0.0,753712.0,0.0
24.0,45.0,0.0,1.0,0.0,753710.0,0.0
25.0,55.0,0.0,1.0,0.0,753692.0,0.0
25.0,55.0,0.0,1.0,0.0,753690.0,0.0
28.0,53.0,0.0,2.0,3.0,753675.0,0.0
31.0,56.0,0.0,2.0,2.0,753674.0,0.0
36.0,61.0,0.0,1.0,1.0,753663.0,0.0
37.0,67.0,0.0,1.0,3.0,753661.0,0.0
41.0,69.0,0.0,1.0,1.0,753649.0,0.0
39.0,74.0,0.0,1.0,3.0,753648.0,0.0
55.0,100.0,0.0,4.0,4.0,753625.0,0.0
50.0,97.0,0.0,4.0,6.0,753623.0,0.0
57.0,114.0,0.0,4.0,8.0,753602.0,0.0
56.0,97.0,0.0,5.0,8.0,753601.0,0.0
67.0,116.0,0.0,5.0,15.0,753579.0,0.0
66.0,110.0,0.0,5.0,12.0,753577.0,0.0
88.0,160.0,0.0,6.0,16.0,753554.0,0.0
92.0,143.0,0.0,6.0,18.0,753552.0,0.0
108.0,166.0,1.0,4.0,17.0,753509.0,0.0
92.0,161.0,1.0,4.0,10.0,753507.0,0.0
116.0,176.0,1.0,1.0,6.0,753458.0,0.0
117.0,194.0,1.0,1.0,5.0,753453.0,0.0
124.0,222.0,1.0,3.0,16.0,753410.0,0.0
128.0,237.0,1.0,3.0,20.0,753407.0,0.0
136.0,336.0,2.0,8.0,23.0,753331.0,0.0
151.0,330.0,2.0,8.0,20.0,753325.0,0.0
158.0,398.0,2.0,14.0,31.0,753225.0,0.0
152.0,399.0,2.0,14.0,29.0,753220.0,0.0
196.0,478.0,4.0,15.0,40.0,753133.0,0.0
204.0,456.0,4.0,15.0,44.0,753123.0,0.0
249.0,571.0,8.0,19.0,51.0,753008.0,0.0
260.0,598.0,8.0,19.0,53.0,752999.0,0.0
307.0,745.0,7.0,26.0,66.0,752824.0,0.0
275.0,767.0,5.0,27.0,67.0,752816.0,0.0
