"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1378554.0,0.0
0.0,11.0,0.0,0.0,0.0,1378548.0,0.0
0.0,8.0,0.0,0.0,0.0,1378535.0,0.0
0.0,8.0,0.0,0.0,0.0,1378529.0,0.0
0.0,9.0,0.0,1.0,0.0,1378516.0,0.0
0.0,10.0,0.0,1.0,0.0,1378510.0,0.0
0.0,12.0,0.0,1.0,0.0,1378496.0,0.0
0.0,15.0,0.0,1.0,0.0,1378490.0,0.0
0.0,17.0,0.0,1.0,0.0,1378477.0,0.0
0.0,19.0,0.0,1.0,0.0,1378471.0,0.0
0.0,23.0,0.0,1.0,0.0,1378456.0,0.0
0.0,24.0,0.0,1.0,0.0,1378450.0,0.0
5.0,19.0,0.0,1.0,0.0,1378439.0,0.0
4.0,22.0,0.0,1.0,0.0,1378435.0,0.0
11.0,21.0,0.0,0.0,0.0,1378422.0,0.0
10.0,27.0,0.0,0.0,0.0,1378417.0,0.0
13.0,29.0,0.0,0.0,0.0,1378401.0,0.0
13.0,30.0,0.0,0.0,0.0,1378396.0,0.0
15.0,28.0,0.0,0.0,0.0,1378384.0,0.0
16.0,32.0,0.0,0.0,0.0,1378380.0,0.0
19.0,40.0,0.0,0.0,0.0,1378365.0,0.0
18.0,41.0,0.0,0.0,0.0,1378362.0,0.0
23.0,44.0,0.0,0.0,0.0,1378342.0,0.0
21.0,43.0,0.0,0.0,0.0,1378339.0,0.0
28.0,38.0,0.0,1.0,0.0,1378328.0,0.0
28.0,46.0,0.0,1.0,0.0,1378324.0,0.0
35.0,52.0,0.0,2.0,0.0,1378303.0,0.0
38.0,55.0,0.0,2.0,0.0,1378299.0,0.0
36.0,71.0,0.0,2.0,0.0,1378274.0,0.0
37.0,73.0,0.0,2.0,0.0,1378272.0,0.0
45.0,78.0,0.0,2.0,0.0,1378254.0,0.0
48.0,77.0,0.0,2.0,0.0,1378251.0,0.0
50.0,93.0,0.0,4.0,1.0,1378223.0,0.0
51.0,92.0,0.0,4.0,1.0,1378219.0,0.0
60.0,94.0,0.0,4.0,2.0,1378191.0,0.0
64.0,87.0,0.0,4.0,3.0,1378187.0,0.0
71.0,102.0,1.0,5.0,3.0,1378163.0,0.0
65.0,106.0,1.0,5.0,6.0,1378159.0,0.0
73.0,124.0,1.0,4.0,2.0,1378118.0,0.0
80.0,115.0,1.0,5.0,5.0,1378113.0,0.0
90.0,131.0,1.0,6.0,6.0,1378068.0,0.0
90.0,135.0,1.0,6.0,6.0,1378061.0,0.0
95.0,140.0,1.0,6.0,10.0,1378007.0,0.0
100.0,145.0,1.0,6.0,9.0,1378001.0,0.0
122.0,156.0,1.0,8.0,13.0,1377935.0,0.0
125.0,170.0,1.0,8.0,11.0,1377924.0,0.0
143.0,171.0,1.0,8.0,26.0,1377857.0,0.0
137.0,181.0,1.0,8.0,26.0,1377850.0,0.0
153.0,211.0,2.0,7.0,38.0,1377777.0,0.0
168.0,204.0,2.0,7.0,38.0,1377769.0,0.0
187.0,215.0,4.0,8.0,44.0,1377691.0,0.0
179.0,218.0,4.0,9.0,45.0,1377681.0,0.0
187.0,275.0,6.0,11.0,53.0,1377592.0,0.0
198.0,253.0,6.0,10.0,51.0,1377582.0,0.0
211.0,307.0,5.0,9.0,70.0,1377499.0,0.0
191.0,298.0,5.0,9.0,73.0,1377488.0,0.0
237.0,384.0,6.0,9.0,79.0,1377376.0,1.0
226.0,340.0,6.0,10.0,79.0,1377363.0,1.0
253.0,425.0,8.0,9.0,95.0,1377259.0,1.0
265.0,449.0,8.0,7.0,90.0,1377251.0,1.0
288.0,509.0,10.0,10.0,101.0,1377120.0,1.0
272.0,493.0,10.0,10.0,109.0,1377109.0,1.0
337.0,564.0,11.0,17.0,133.0,1376970.0,1.0
324.0,560.0,11.0,17.0,128.0,1376955.0,1.0
