"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,872736.0,0.0
0.0,8.0,0.0,0.0,0.0,872734.0,0.0
0.0,7.0,0.0,0.0,0.0,872730.0,0.0
0.0,6.0,0.0,0.0,0.0,872728.0,0.0
0.0,5.0,0.0,0.0,0.0,872723.0,0.0
0.0,5.0,0.0,0.0,0.0,872721.0,0.0
0.0,7.0,0.0,0.0,0.0,872715.0,0.0
0.0,7.0,0.0,0.0,0.0,872713.0,0.0
0.0,7.0,0.0,0.0,0.0,872708.0,0.0
0.0,7.0,0.0,0.0,0.0,872706.0,0.0
0.0,8.0,0.0,0.0,0.0,872700.0,0.0
0.0,8.0,0.0,0.0,0.0,872698.0,0.0
0.0,9.0,0.0,0.0,0.0,872693.0,0.0
0.0,9.0,0.0,0.0,0.0,872691.0,0.0
2.0,9.0,0.0,0.0,0.0,872685.0,0.0
3.0,9.0,0.0,0.0,0.0,872683.0,0.0
5.0,8.0,0.0,0.0,0.0,872677.0,0.0
5.0,9.0,0.0,0.0,0.0,872675.0,0.0
5.0,11.0,0.0,1.0,0.0,872669.0,0.0
5.0,11.0,0.0,1.0,0.0,872668.0,0.0
8.0,13.0,0.0,1.0,0.0,872663.0,0.0
8.0,14.0,0.0,1.0,0.0,872661.0,0.0
9.0,20.0,0.0,1.0,0.0,872655.0,0.0
9.0,19.0,0.0,1.0,0.0,872653.0,0.0
13.0,17.0,0.0,0.0,0.0,872643.0,0.0
12.0,15.0,0.0,0.0,0.0,872642.0,0.0
12.0,20.0,0.0,0.0,0.0,872634.0,0.0
13.0,20.0,0.0,0.0,0.0,872633.0,0.0
13.0,28.0,0.0,1.0,0.0,872622.0,0.0
13.0,28.0,0.0,1.0,0.0,872620.0,0.0
11.0,33.0,1.0,1.0,0.0,872612.0,0.0
11.0,36.0,1.0,1.0,0.0,872610.0,0.0
15.0,43.0,1.0,2.0,1.0,872600.0,0.0
14.0,42.0,1.0,2.0,1.0,872598.0,0.0
17.0,42.0,1.0,3.0,1.0,872585.0,0.0
20.0,39.0,1.0,3.0,1.0,872584.0,0.0
28.0,46.0,1.0,2.0,2.0,872573.0,0.0
27.0,47.0,1.0,2.0,2.0,872572.0,0.0
29.0,65.0,1.0,4.0,5.0,872561.0,0.0
31.0,64.0,1.0,4.0,7.0,872559.0,0.0
37.0,79.0,0.0,3.0,9.0,872537.0,0.0
38.0,72.0,0.0,3.0,7.0,872535.0,0.0
44.0,89.0,0.0,3.0,10.0,872520.0,0.0
45.0,86.0,0.0,3.0,7.0,872517.0,0.0
57.0,108.0,2.0,3.0,15.0,872490.0,0.0
48.0,94.0,2.0,3.0,13.0,872487.0,0.0
65.0,132.0,3.0,3.0,12.0,872453.0,0.0
63.0,119.0,3.0,3.0,9.0,872448.0,0.0
78.0,119.0,3.0,6.0,9.0,872414.0,0.0
72.0,105.0,3.0,6.0,6.0,872409.0,0.0
92.0,155.0,3.0,7.0,12.0,872380.0,0.0
84.0,134.0,3.0,7.0,11.0,872374.0,0.0
118.0,168.0,3.0,7.0,17.0,872324.0,0.0
114.0,152.0,3.0,7.0,21.0,872318.0,0.0
119.0,211.0,4.0,7.0,23.0,872267.0,0.0
124.0,196.0,4.0,7.0,25.0,872262.0,0.0
130.0,247.0,8.0,9.0,33.0,872208.0,0.0
136.0,263.0,8.0,9.0,32.0,872202.0,0.0
167.0,314.0,9.0,11.0,32.0,872133.0,0.0
153.0,340.0,9.0,11.0,30.0,872124.0,0.0
187.0,398.0,8.0,12.0,42.0,872044.0,0.0
190.0,415.0,8.0,12.0,41.0,872040.0,0.0
254.0,457.0,8.0,15.0,55.0,871945.0,0.0
250.0,502.0,8.0,16.0,55.0,871937.0,0.0
