"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,794165.0,0.0
0.0,11.0,0.0,0.0,0.0,794161.0,0.0
0.0,10.0,0.0,0.0,0.0,794150.0,0.0
0.0,8.0,0.0,0.0,0.0,794146.0,0.0
0.0,7.0,0.0,0.0,0.0,794135.0,0.0
0.0,6.0,0.0,0.0,0.0,794131.0,0.0
0.0,6.0,0.0,0.0,0.0,794123.0,0.0
0.0,4.0,0.0,0.0,0.0,794119.0,0.0
0.0,6.0,0.0,0.0,0.0,794111.0,0.0
0.0,7.0,0.0,0.0,0.0,794107.0,0.0
0.0,8.0,0.0,0.0,0.0,794099.0,0.0
0.0,8.0,0.0,0.0,0.0,794095.0,0.0
1.0,8.0,0.0,0.0,0.0,794086.0,0.0
1.0,8.0,0.0,0.0,0.0,794083.0,0.0
3.0,9.0,0.0,0.0,0.0,794074.0,0.0
4.0,9.0,0.0,0.0,0.0,794071.0,0.0
5.0,11.0,0.0,0.0,0.0,794063.0,0.0
4.0,10.0,0.0,0.0,0.0,794060.0,0.0
6.0,10.0,0.0,0.0,0.0,794053.0,0.0
6.0,10.0,0.0,0.0,0.0,794050.0,0.0
6.0,10.0,0.0,1.0,0.0,794042.0,0.0
6.0,10.0,0.0,1.0,0.0,794039.0,0.0
6.0,12.0,0.0,1.0,0.0,794030.0,0.0
7.0,12.0,0.0,1.0,0.0,794027.0,0.0
10.0,10.0,0.0,1.0,0.0,794018.0,0.0
10.0,10.0,0.0,1.0,0.0,794015.0,0.0
11.0,14.0,0.0,1.0,0.0,794006.0,0.0
11.0,15.0,0.0,1.0,0.0,794003.0,0.0
14.0,19.0,0.0,2.0,0.0,793989.0,0.0
14.0,21.0,0.0,2.0,0.0,793986.0,0.0
13.0,32.0,0.0,2.0,0.0,793972.0,0.0
13.0,31.0,0.0,2.0,0.0,793969.0,0.0
13.0,37.0,0.0,1.0,0.0,793951.0,0.0
13.0,40.0,0.0,1.0,0.0,793948.0,0.0
16.0,36.0,0.0,1.0,1.0,793934.0,0.0
15.0,33.0,0.0,1.0,1.0,793930.0,0.0
17.0,45.0,0.0,1.0,2.0,793913.0,0.0
15.0,46.0,0.0,1.0,2.0,793908.0,0.0
18.0,57.0,0.0,1.0,3.0,793892.0,0.0
18.0,57.0,0.0,1.0,2.0,793888.0,0.0
27.0,70.0,0.0,2.0,4.0,793865.0,0.0
26.0,64.0,0.0,2.0,2.0,793861.0,0.0
36.0,74.0,0.0,4.0,5.0,793837.0,0.0
32.0,67.0,0.0,4.0,3.0,793833.0,0.0
41.0,94.0,0.0,4.0,3.0,793799.0,0.0
39.0,88.0,0.0,4.0,5.0,793794.0,0.0
55.0,107.0,0.0,5.0,1.0,793765.0,0.0
52.0,98.0,0.0,5.0,2.0,793761.0,0.0
59.0,97.0,0.0,6.0,3.0,793728.0,0.0
58.0,111.0,0.0,6.0,4.0,793724.0,0.0
79.0,142.0,2.0,6.0,6.0,793693.0,0.0
80.0,144.0,2.0,6.0,2.0,793690.0,0.0
97.0,183.0,2.0,6.0,10.0,793638.0,0.0
90.0,195.0,2.0,6.0,11.0,793633.0,0.0
116.0,200.0,3.0,7.0,15.0,793587.0,0.0
117.0,178.0,3.0,8.0,14.0,793582.0,0.0
138.0,222.0,3.0,8.0,22.0,793528.0,0.0
122.0,234.0,3.0,9.0,22.0,793522.0,0.0
122.0,269.0,3.0,7.0,25.0,793455.0,0.0
130.0,277.0,3.0,7.0,29.0,793451.0,0.0
171.0,360.0,3.0,10.0,34.0,793373.0,0.0
168.0,366.0,3.0,10.0,32.0,793366.0,0.0
194.0,446.0,4.0,15.0,47.0,793267.0,0.0
185.0,500.0,4.0,15.0,47.0,793259.0,0.0
