"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1378504.0,0.0
0.0,3.0,0.0,0.0,0.0,1378499.0,0.0
0.0,4.0,0.0,0.0,0.0,1378488.0,0.0
0.0,6.0,0.0,0.0,0.0,1378483.0,0.0
0.0,7.0,0.0,0.0,0.0,1378472.0,0.0
0.0,7.0,0.0,0.0,0.0,1378467.0,0.0
0.0,8.0,0.0,0.0,0.0,1378456.0,0.0
0.0,10.0,0.0,0.0,0.0,1378451.0,0.0
0.0,14.0,0.0,0.0,0.0,1378439.0,0.0
0.0,14.0,0.0,0.0,0.0,1378434.0,0.0
0.0,15.0,0.0,0.0,0.0,1378422.0,0.0
0.0,16.0,0.0,0.0,0.0,1378417.0,0.0
4.0,14.0,0.0,0.0,0.0,1378405.0,0.0
3.0,16.0,0.0,0.0,0.0,1378400.0,0.0
5.0,17.0,0.0,0.0,0.0,1378385.0,0.0
6.0,19.0,0.0,0.0,0.0,1378380.0,0.0
7.0,21.0,0.0,0.0,0.0,1378366.0,0.0
7.0,23.0,0.0,0.0,0.0,1378360.0,0.0
9.0,22.0,0.0,0.0,0.0,1378345.0,0.0
9.0,24.0,0.0,0.0,0.0,1378340.0,0.0
16.0,26.0,0.0,0.0,0.0,1378324.0,0.0
15.0,26.0,0.0,0.0,0.0,1378319.0,0.0
15.0,26.0,0.0,0.0,0.0,1378304.0,0.0
15.0,29.0,0.0,0.0,0.0,1378298.0,0.0
18.0,32.0,0.0,0.0,0.0,1378280.0,0.0
20.0,32.0,0.0,0.0,0.0,1378275.0,0.0
21.0,39.0,0.0,0.0,0.0,1378253.0,0.0
22.0,41.0,0.0,0.0,0.0,1378248.0,0.0
28.0,43.0,0.0,1.0,0.0,1378233.0,0.0
28.0,42.0,0.0,1.0,0.0,1378228.0,0.0
30.0,55.0,0.0,1.0,0.0,1378203.0,0.0
28.0,60.0,0.0,1.0,0.0,1378197.0,0.0
31.0,47.0,0.0,1.0,1.0,1378174.0,0.0
31.0,51.0,0.0,1.0,1.0,1378169.0,0.0
34.0,62.0,0.0,1.0,6.0,1378151.0,0.0
32.0,60.0,0.0,1.0,1.0,1378146.0,0.0
36.0,63.0,0.0,2.0,2.0,1378116.0,0.0
36.0,67.0,0.0,2.0,1.0,1378111.0,0.0
46.0,74.0,0.0,1.0,1.0,1378080.0,0.0
48.0,74.0,0.0,1.0,1.0,1378075.0,0.0
56.0,97.0,0.0,1.0,10.0,1378037.0,0.0
60.0,85.0,0.0,1.0,8.0,1378032.0,0.0
75.0,108.0,0.0,2.0,14.0,1377998.0,0.0
74.0,100.0,0.0,2.0,18.0,1377991.0,0.0
84.0,107.0,1.0,3.0,16.0,1377949.0,0.0
84.0,98.0,1.0,4.0,13.0,1377941.0,0.0
83.0,121.0,1.0,4.0,11.0,1377894.0,0.0
87.0,118.0,1.0,4.0,13.0,1377885.0,0.0
97.0,143.0,2.0,4.0,24.0,1377840.0,0.0
98.0,142.0,2.0,4.0,24.0,1377832.0,0.0
122.0,153.0,1.0,5.0,31.0,1377777.0,0.0
115.0,157.0,1.0,5.0,25.0,1377768.0,0.0
131.0,169.0,1.0,6.0,30.0,1377710.0,0.0
132.0,172.0,1.0,7.0,31.0,1377700.0,0.0
140.0,195.0,2.0,8.0,37.0,1377629.0,0.0
136.0,196.0,2.0,8.0,36.0,1377617.0,0.0
152.0,256.0,1.0,7.0,43.0,1377513.0,0.0
154.0,303.0,1.0,7.0,49.0,1377502.0,0.0
162.0,317.0,0.0,7.0,70.0,1377414.0,0.0
167.0,313.0,0.0,7.0,69.0,1377406.0,0.0
186.0,388.0,1.0,12.0,74.0,1377287.0,0.0
190.0,396.0,1.0,12.0,73.0,1377279.0,0.0
225.0,503.0,0.0,15.0,83.0,1377168.0,0.0
226.0,526.0,0.0,15.0,83.0,1377156.0,0.0
