"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1011511.0,0.0
0.0,8.0,0.0,0.0,0.0,1011505.0,0.0
0.0,5.0,0.0,0.0,0.0,1011494.0,0.0
0.0,5.0,0.0,0.0,0.0,1011489.0,0.0
0.0,7.0,0.0,0.0,0.0,1011477.0,0.0
0.0,7.0,0.0,0.0,0.0,1011472.0,0.0
0.0,8.0,0.0,0.0,0.0,1011460.0,0.0
0.0,8.0,0.0,0.0,0.0,1011455.0,0.0
0.0,8.0,0.0,0.0,0.0,1011443.0,0.0
0.0,8.0,0.0,0.0,0.0,1011438.0,0.0
0.0,9.0,0.0,0.0,0.0,1011427.0,0.0
0.0,11.0,0.0,0.0,0.0,1011422.0,0.0
1.0,11.0,0.0,0.0,0.0,1011408.0,0.0
1.0,12.0,0.0,0.0,0.0,1011402.0,0.0
3.0,10.0,0.0,0.0,0.0,1011390.0,0.0
3.0,9.0,0.0,0.0,0.0,1011384.0,0.0
5.0,9.0,0.0,0.0,0.0,1011370.0,0.0
5.0,9.0,0.0,0.0,0.0,1011364.0,0.0
6.0,9.0,0.0,0.0,0.0,1011350.0,0.0
6.0,9.0,0.0,0.0,0.0,1011344.0,0.0
7.0,9.0,0.0,0.0,0.0,1011329.0,0.0
7.0,10.0,0.0,0.0,0.0,1011322.0,0.0
7.0,16.0,0.0,0.0,0.0,1011307.0,0.0
7.0,18.0,0.0,0.0,0.0,1011301.0,0.0
8.0,18.0,0.0,0.0,0.0,1011284.0,0.0
8.0,19.0,0.0,0.0,0.0,1011278.0,0.0
9.0,16.0,0.0,0.0,0.0,1011266.0,0.0
9.0,17.0,0.0,0.0,0.0,1011259.0,0.0
11.0,25.0,0.0,0.0,0.0,1011239.0,0.0
11.0,27.0,0.0,0.0,0.0,1011232.0,0.0
12.0,29.0,0.0,0.0,0.0,1011213.0,0.0
12.0,29.0,0.0,0.0,0.0,1011206.0,0.0
19.0,40.0,0.0,0.0,0.0,1011182.0,0.0
21.0,35.0,0.0,0.0,0.0,1011175.0,0.0
17.0,49.0,1.0,0.0,1.0,1011153.0,0.0
17.0,48.0,1.0,0.0,2.0,1011146.0,0.0
18.0,56.0,1.0,0.0,2.0,1011124.0,0.0
19.0,54.0,1.0,0.0,1.0,1011117.0,0.0
20.0,59.0,1.0,1.0,1.0,1011095.0,0.0
25.0,61.0,1.0,1.0,4.0,1011088.0,0.0
32.0,64.0,1.0,1.0,6.0,1011065.0,0.0
33.0,68.0,1.0,1.0,3.0,1011058.0,0.0
41.0,70.0,1.0,3.0,3.0,1011021.0,0.0
45.0,73.0,1.0,3.0,7.0,1011014.0,0.0
47.0,81.0,1.0,2.0,4.0,1010979.0,0.0
47.0,77.0,1.0,2.0,3.0,1010970.0,0.0
54.0,112.0,1.0,2.0,8.0,1010929.0,0.0
58.0,96.0,1.0,2.0,6.0,1010921.0,0.0
66.0,112.0,1.0,3.0,5.0,1010884.0,0.0
72.0,99.0,1.0,3.0,6.0,1010875.0,0.0
83.0,107.0,1.0,5.0,4.0,1010834.0,0.0
88.0,109.0,1.0,5.0,5.0,1010824.0,0.0
88.0,121.0,2.0,4.0,9.0,1010765.0,0.0
105.0,118.0,2.0,4.0,9.0,1010755.0,0.0
108.0,163.0,3.0,5.0,14.0,1010683.0,0.0
114.0,159.0,3.0,5.0,13.0,1010672.0,0.0
119.0,190.0,4.0,4.0,15.0,1010587.0,0.0
136.0,203.0,3.0,4.0,15.0,1010576.0,0.0
141.0,216.0,3.0,4.0,26.0,1010499.0,0.0
130.0,216.0,3.0,5.0,31.0,1010489.0,0.0
149.0,278.0,1.0,10.0,43.0,1010406.0,0.0
141.0,281.0,1.0,10.0,39.0,1010394.0,0.0
176.0,345.0,1.0,10.0,51.0,1010299.0,0.0
168.0,327.0,1.0,11.0,52.0,1010288.0,0.0
