"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,554519.0,0.0
0.0,9.0,0.0,0.0,0.0,554518.0,0.0
0.0,3.0,0.0,1.0,0.0,554516.0,0.0
0.0,3.0,0.0,1.0,0.0,554515.0,0.0
0.0,3.0,0.0,1.0,0.0,554513.0,0.0
0.0,3.0,0.0,1.0,0.0,554512.0,0.0
0.0,4.0,0.0,1.0,0.0,554509.0,0.0
0.0,3.0,0.0,1.0,0.0,554508.0,0.0
0.0,3.0,0.0,1.0,0.0,554506.0,0.0
0.0,3.0,0.0,1.0,0.0,554505.0,0.0
0.0,4.0,0.0,1.0,0.0,554503.0,0.0
0.0,4.0,0.0,1.0,0.0,554502.0,0.0
0.0,4.0,0.0,1.0,0.0,554500.0,0.0
0.0,4.0,0.0,1.0,0.0,554499.0,0.0
1.0,6.0,0.0,1.0,0.0,554494.0,0.0
1.0,6.0,0.0,1.0,0.0,554493.0,0.0
3.0,5.0,0.0,0.0,0.0,554491.0,0.0
3.0,5.0,0.0,0.0,0.0,554490.0,0.0
3.0,5.0,0.0,0.0,0.0,554487.0,0.0
3.0,5.0,0.0,0.0,0.0,554486.0,0.0
3.0,6.0,0.0,0.0,0.0,554483.0,0.0
3.0,6.0,0.0,0.0,0.0,554482.0,0.0
4.0,6.0,0.0,0.0,0.0,554478.0,0.0
4.0,6.0,0.0,0.0,0.0,554477.0,0.0
5.0,6.0,0.0,0.0,0.0,554473.0,0.0
5.0,6.0,0.0,0.0,0.0,554472.0,0.0
6.0,7.0,0.0,0.0,0.0,554469.0,0.0
6.0,7.0,0.0,0.0,0.0,554468.0,0.0
7.0,6.0,0.0,0.0,0.0,554466.0,0.0
7.0,7.0,0.0,0.0,0.0,554464.0,0.0
8.0,10.0,0.0,0.0,0.0,554460.0,0.0
8.0,10.0,0.0,0.0,0.0,554459.0,0.0
9.0,12.0,0.0,0.0,0.0,554454.0,0.0
9.0,12.0,0.0,0.0,0.0,554453.0,0.0
9.0,14.0,0.0,1.0,1.0,554443.0,0.0
10.0,15.0,0.0,1.0,1.0,554442.0,0.0
9.0,17.0,0.0,1.0,2.0,554434.0,0.0
9.0,19.0,0.0,1.0,1.0,554432.0,0.0
8.0,27.0,0.0,1.0,1.0,554424.0,0.0
8.0,25.0,0.0,1.0,2.0,554423.0,0.0
9.0,25.0,0.0,1.0,5.0,554418.0,0.0
9.0,26.0,0.0,1.0,2.0,554417.0,0.0
16.0,26.0,0.0,1.0,3.0,554411.0,0.0
15.0,28.0,0.0,1.0,1.0,554410.0,0.0
19.0,42.0,0.0,0.0,5.0,554399.0,0.0
23.0,40.0,0.0,0.0,3.0,554398.0,0.0
21.0,47.0,0.0,0.0,1.0,554381.0,0.0
23.0,48.0,0.0,0.0,1.0,554380.0,0.0
26.0,47.0,0.0,0.0,4.0,554366.0,0.0
26.0,55.0,0.0,0.0,4.0,554363.0,0.0
31.0,58.0,0.0,0.0,6.0,554352.0,0.0
33.0,64.0,0.0,0.0,1.0,554351.0,0.0
39.0,68.0,0.0,1.0,2.0,554328.0,0.0
37.0,78.0,0.0,1.0,1.0,554325.0,0.0
35.0,79.0,0.0,1.0,9.0,554304.0,0.0
41.0,83.0,0.0,1.0,13.0,554302.0,0.0
52.0,97.0,0.0,1.0,19.0,554275.0,0.0
52.0,90.0,0.0,1.0,15.0,554273.0,0.0
48.0,114.0,0.0,2.0,13.0,554249.0,0.0
52.0,115.0,0.0,2.0,13.0,554246.0,0.0
62.0,139.0,1.0,2.0,15.0,554215.0,0.0
62.0,150.0,1.0,2.0,18.0,554211.0,0.0
87.0,194.0,2.0,3.0,21.0,554170.0,0.0
89.0,196.0,2.0,3.0,19.0,554168.0,0.0
