"Number of Infected, Exposed, Severe Infected, Quarantined, Immunized, Susceptible, Dead "
0.0,10.0,0.0,0.0,0.0,1981747.0,0.0
0.0,8.0,0.0,0.0,0.0,1981746.0,0.0
0.0,4.0,0.0,0.0,0.0,1981744.0,0.0
0.0,3.0,0.0,0.0,0.0,1981743.0,0.0
0.0,5.0,0.0,0.0,0.0,1981740.0,0.0
0.0,5.0,0.0,0.0,0.0,1981739.0,0.0
0.0,7.0,0.0,0.0,0.0,1981737.0,0.0
0.0,6.0,0.0,0.0,0.0,1981736.0,0.0
0.0,6.0,0.0,0.0,0.0,1981733.0,0.0
0.0,6.0,0.0,0.0,0.0,1981732.0,0.0
0.0,6.0,0.0,0.0,0.0,1981730.0,0.0
0.0,6.0,0.0,0.0,0.0,1981729.0,0.0
0.0,8.0,0.0,1.0,0.0,1981724.0,0.0
0.0,8.0,0.0,1.0,0.0,1981723.0,0.0
4.0,6.0,0.0,1.0,0.0,1981720.0,0.0
5.0,6.0,0.0,1.0,0.0,1981719.0,0.0
6.0,6.0,0.0,1.0,0.0,1981716.0,0.0
6.0,6.0,0.0,1.0,0.0,1981715.0,0.0
6.0,6.0,0.0,1.0,0.0,1981713.0,0.0
6.0,6.0,0.0,1.0,0.0,1981712.0,0.0
8.0,7.0,0.0,1.0,0.0,1981706.0,0.0
8.0,8.0,0.0,1.0,0.0,1981704.0,0.0
8.0,9.0,0.0,1.0,0.0,1981700.0,0.0
8.0,9.0,0.0,1.0,0.0,1981699.0,0.0
8.0,7.0,0.0,1.0,0.0,1981697.0,0.0
8.0,6.0,0.0,1.0,0.0,1981696.0,0.0
10.0,8.0,0.0,0.0,0.0,1981691.0,0.0
10.0,8.0,0.0,0.0,0.0,1981690.0,0.0
11.0,14.0,0.0,0.0,0.0,1981685.0,0.0
11.0,12.0,0.0,0.0,0.0,1981684.0,0.0
12.0,15.0,0.0,0.0,0.0,1981680.0,0.0
12.0,16.0,0.0,0.0,0.0,1981678.0,0.0
14.0,27.0,0.0,0.0,0.0,1981663.0,0.0
14.0,26.0,0.0,0.0,0.0,1981662.0,0.0
14.0,30.0,0.0,0.0,4.0,1981653.0,0.0
15.0,27.0,0.0,0.0,3.0,1981652.0,0.0
15.0,39.0,0.0,0.0,2.0,1981642.0,0.0
15.0,36.0,0.0,0.0,2.0,1981641.0,0.0
18.0,53.0,0.0,0.0,2.0,1981625.0,0.0
18.0,46.0,0.0,0.0,2.0,1981624.0,0.0
22.0,49.0,0.0,0.0,1.0,1981618.0,0.0
22.0,45.0,0.0,0.0,1.0,1981617.0,0.0
28.0,53.0,0.0,0.0,5.0,1981603.0,0.0
30.0,50.0,0.0,0.0,6.0,1981601.0,0.0
34.0,75.0,1.0,0.0,9.0,1981579.0,0.0
29.0,68.0,1.0,0.0,7.0,1981577.0,0.0
45.0,81.0,1.0,0.0,9.0,1981551.0,0.0
44.0,74.0,1.0,0.0,12.0,1981550.0,0.0
59.0,87.0,1.0,2.0,9.0,1981527.0,0.0
54.0,81.0,1.0,2.0,10.0,1981525.0,0.0
64.0,96.0,1.0,4.0,13.0,1981495.0,0.0
62.0,92.0,1.0,4.0,13.0,1981493.0,0.0
89.0,94.0,1.0,4.0,23.0,1981461.0,0.0
89.0,97.0,1.0,4.0,22.0,1981459.0,0.0
71.0,122.0,2.0,5.0,22.0,1981413.0,0.0
70.0,115.0,2.0,5.0,23.0,1981412.0,0.0
94.0,143.0,3.0,3.0,27.0,1981371.0,0.0
86.0,160.0,3.0,3.0,31.0,1981367.0,0.0
94.0,179.0,3.0,5.0,36.0,1981317.0,0.0
100.0,183.0,3.0,5.0,39.0,1981312.0,0.0
113.0,221.0,3.0,4.0,51.0,1981254.0,0.0
113.0,222.0,3.0,4.0,55.0,1981250.0,0.0
115.0,282.0,2.0,9.0,64.0,1981163.0,0.0
118.0,283.0,2.0,9.0,65.0,1981157.0,0.0
