Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1,2020-03-01,0.0,13.0,0.0,0.0,0.0,1854547.0,0.0,0.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2,2020-03-02,0.0,16.0,0.0,0.0,0.0,1854538.0,0.0,0.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3,2020-03-03,0.0,26.0,0.0,1.0,0.0,1854521.0,0.0,0.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4,2020-03-04,0.0,32.0,0.0,2.0,0.0,1854508.0,0.0,0.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5,2020-03-05,0.0,39.0,0.0,2.0,0.0,1854496.0,0.0,0.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6,2020-03-06,3.0,52.0,0.0,4.0,0.0,1854473.0,0.0,0.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7,2020-03-07,8.0,68.0,0.0,2.0,0.0,1854447.0,0.0,2.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8,2020-03-08,12.0,91.0,0.0,4.0,0.0,1854413.0,0.0,2.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9,2020-03-09,20.0,124.0,0.0,6.0,0.0,1854365.0,0.0,2.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10,2020-03-10,27.0,174.0,1.0,8.0,0.0,1854299.0,0.0,3.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
11,2020-03-11,38.0,242.0,2.0,8.0,0.0,1854215.0,0.0,2.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
12,2020-03-12,52.0,320.0,2.0,10.0,0.0,1854114.0,0.0,4.0,10.0,30.0,5.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13,2020-03-13,85.0,380.0,2.0,8.0,0.0,1854015.0,0.0,7.0,10.0,20.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14,2020-03-14,135.0,441.0,2.0,11.0,0.0,1853896.0,0.0,7.0,10.0,20.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
15,2020-03-15,197.0,482.0,3.0,16.0,0.0,1853777.0,0.0,9.0,10.0,20.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16,2020-03-16,270.0,540.0,4.0,24.0,0.0,1853627.0,0.0,14.0,10.0,20.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17,2020-03-17,348.0,628.0,6.0,28.0,0.0,1853447.0,0.0,18.0,10.0,20.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18,2020-03-18,431.0,750.0,7.0,26.0,0.0,1853232.0,0.0,27.0,10.0,20.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19,2020-03-19,545.0,762.0,12.0,39.0,0.0,1853082.0,0.0,33.0,10.0,12.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,0.0,0.0,0.0
20,2020-03-20,631.0,822.0,13.0,51.0,0.0,1852916.0,0.0,40.0,10.0,12.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,0.0,0.0,0.0
21,2020-03-21,770.0,854.0,19.0,44.0,0.0,1852730.0,0.0,56.0,10.0,12.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,0.0,0.0,0.0
22,2020-03-22,935.0,790.0,23.0,57.0,0.0,1852603.0,0.0,65.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,0.0,0.0,0.0
23,2020-03-23,1112.0,709.0,33.0,55.0,0.0,1852479.0,0.0,85.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,0.0,0.0,0.0
24,2020-03-24,1234.0,693.0,41.0,52.0,3.0,1852348.0,0.0,102.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,0.0,0.0,0.0
25,2020-03-25,1366.0,684.0,53.0,33.0,5.0,1852206.0,0.0,127.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,0.0,0.0,0.0
26,2020-03-26,1505.0,650.0,66.0,31.0,23.0,1852060.0,0.0,139.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,0.0,0.0,0.0
27,2020-03-27,1562.0,671.0,81.0,30.0,75.0,1851907.0,0.0,148.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,0.0,0.0,0.0
28,2020-03-28,1615.0,718.0,89.0,35.0,121.0,1851746.0,0.0,150.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,0.0,0.0,0.0
29,2020-03-29,1669.0,745.0,97.0,43.0,179.0,1851585.0,0.0,156.0,10.0,7.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,0.0,0.0,0.0
30,2020-03-30,1710.0,727.0,107.0,45.0,250.0,1851469.0,0.0,166.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
31,2020-03-31,1756.0,690.0,125.0,48.0,326.0,1851349.0,0.0,180.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-01,1801.0,666.0,138.0,39.0,407.0,1851225.0,0.0,198.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-02,1826.0,645.0,147.0,33.0,510.0,1851105.0,0.0,208.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-03,1871.0,618.0,163.0,28.0,603.0,1850982.0,0.0,209.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-04,1861.0,622.0,175.0,31.0,717.0,1850859.0,0.0,209.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-05,1794.0,624.0,172.0,33.0,888.0,1850750.0,0.0,213.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-06,1739.0,610.0,156.0,38.0,1090.0,1850651.0,0.0,190.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-07,1722.0,617.0,145.0,39.0,1226.0,1850542.0,0.0,183.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-08,1699.0,596.0,154.0,40.0,1393.0,1850433.0,1.0,158.0,10.0,5.0,2.0,1.25,2395.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
