Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1,2020-03-01,0.0,16.0,0.0,0.0,0.0,1078355.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2,2020-03-02,0.0,23.0,0.0,1.0,0.0,1078346.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3,2020-03-03,0.0,31.0,0.0,1.0,0.0,1078337.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4,2020-03-04,0.0,44.0,0.0,2.0,0.0,1078322.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5,2020-03-05,0.0,58.0,0.0,3.0,0.0,1078306.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6,2020-03-06,4.0,71.0,0.0,4.0,0.0,1078287.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7,2020-03-07,17.0,76.0,0.0,7.0,0.0,1078266.0,0.0,0.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8,2020-03-08,21.0,106.0,0.0,6.0,0.0,1078229.0,0.0,3.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9,2020-03-09,32.0,148.0,0.0,9.0,0.0,1078171.0,0.0,5.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10,2020-03-10,40.0,216.0,0.0,13.0,0.0,1078091.0,0.0,6.0,10.0,30.0,5.0,1.25,885.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
