Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1,2020-03-01,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2,2020-03-02,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3,2020-03-03,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4,2020-03-04,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5,2020-03-05,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6,2020-03-06,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7,2020-03-07,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8,2020-03-08,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9,2020-03-09,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10,2020-03-10,0.0,0.0,0.0,0.0,0.0,794165.0,0.0,0.0,0.0,30.0,2.0,1.25,465.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
