Day ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1.0,0.0,25.0,0.0,1.0,0.0,2039255.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2.0,0.0,36.0,0.0,1.0,0.0,2039067.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,0.0,54.0,0.0,1.0,0.0,2038872.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4.0,0.0,66.0,0.0,3.0,0.0,2038681.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5.0,20.0,68.0,0.0,4.0,0.0,2038481.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6.0,20.0,106.0,0.0,6.0,0.0,2038264.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7.0,23.0,145.0,0.0,9.0,0.0,2038042.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8.0,32.0,202.0,0.0,14.0,0.0,2037794.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9.0,49.0,282.0,0.0,20.0,0.0,2037517.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10.0,79.0,353.0,0.0,25.0,0.0,2037236.0,0.0,20.0,30.0,10.0,0.35,280.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
