Day ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1.0,0.0,25.0,0.0,0.0,0.0,1854551.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,34.0,0.0,0.0,0.0,1854542.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,43.0,0.0,1.0,0.0,1854532.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,66.0,0.0,1.0,0.0,1854509.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
5.0,20.0,69.0,0.0,4.0,0.0,1854483.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
6.0,20.0,98.0,0.0,8.0,0.0,1854450.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
7.0,22.0,135.0,0.0,15.0,0.0,1854404.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
8.0,32.0,169.0,0.0,22.0,0.0,1854353.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
9.0,48.0,222.0,0.0,30.0,0.0,1854276.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
10.0,66.0,287.0,0.0,40.0,0.0,1854183.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
11.0,113.0,372.0,0.0,40.0,0.0,1854051.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
12.0,149.0,538.0,0.0,48.0,0.0,1853841.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
13.0,228.0,693.0,0.0,65.0,0.0,1853590.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
14.0,294.0,917.0,1.0,108.0,0.0,1853256.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
15.0,405.0,1168.0,1.0,185.0,0.0,1852817.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
16.0,564.0,1495.0,2.0,271.0,0.0,1852244.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
17.0,750.0,1944.0,2.0,389.0,0.0,1851491.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
18.0,1030.0,2533.0,4.0,508.0,0.0,1850501.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
19.0,1345.0,3293.0,5.0,709.0,18.0,1849206.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
20.0,1836.0,4322.0,5.0,903.0,18.0,1847492.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
21.0,2426.0,5639.0,7.0,1247.0,18.0,1845239.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
22.0,3230.0,7494.0,10.0,1559.0,18.0,1842265.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
23.0,4274.0,9879.0,26.0,2027.0,33.0,1838337.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
24.0,5593.0,13017.0,41.0,2678.0,62.0,1833185.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
25.0,7339.0,17065.0,64.0,3563.0,106.0,1826439.0,0.0,20.0,30.0,10.0,0.35,2395.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0
