Day ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1.0,0.0,0.0,0.0,0.0,0.0,1378508.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,1378514.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,1378520.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,1378526.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,1378532.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,1378538.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0,1378546.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8.0,0.0,0.0,0.0,0.0,0.0,1378555.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,1378564.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10.0,0.0,0.0,0.0,0.0,0.0,1378573.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
11.0,0.0,0.0,0.0,0.0,0.0,1378582.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
12.0,0.0,2.0,0.0,0.0,0.0,1378590.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13.0,0.0,2.0,0.0,0.0,0.0,1378599.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14.0,0.0,2.0,0.0,0.0,0.0,1378608.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
15.0,0.0,4.0,0.0,0.0,0.0,1378615.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16.0,0.0,5.0,0.0,0.0,0.0,1378623.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17.0,1.0,11.0,0.0,0.0,0.0,1378626.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18.0,1.0,19.0,0.0,0.0,0.0,1378628.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19.0,3.0,24.0,0.0,0.0,0.0,1378631.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
20.0,3.0,33.0,0.0,0.0,0.0,1378631.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
21.0,4.0,45.0,0.0,1.0,0.0,1378627.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
22.0,7.0,55.0,0.0,1.0,0.0,1378623.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
23.0,7.0,87.0,0.0,2.0,0.0,1378598.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
24.0,17.0,111.0,0.0,2.0,0.0,1378573.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
25.0,24.0,135.0,1.0,3.0,0.0,1378550.0,0.0,0.0,30.0,2.0,0.35,1420.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
